,LocationID,Borough,Zone
5972,238,Manhattan,Upper West Side North
5973,113,Manhattan,Greenwich Village North
5974,79,Manhattan,East Village
5975,234,Manhattan,Union Sq
5976,186,Manhattan,Penn Station/Madison Sq West
5977,189,Brooklyn,Prospect Heights
5978,148,Manhattan,Lower East Side
5979,138,Queens,LaGuardia Airport
5980,113,Manhattan,Greenwich Village North
5981,229,Manhattan,Sutton Place/Turtle Bay North
5982,186,Manhattan,Penn Station/Madison Sq West
5983,249,Manhattan,West Village
5984,68,Manhattan,East Chelsea
5985,263,Manhattan,Yorkville West
5986,87,Manhattan,Financial District North
5987,141,Manhattan,Lenox Hill West
5988,144,Manhattan,Little Italy/NoLiTa
5989,211,Manhattan,SoHo
5990,264,Unknown,NV
5991,263,Manhattan,Yorkville West
5992,233,Manhattan,UN/Turtle Bay South
5993,163,Manhattan,Midtown North
5994,230,Manhattan,Times Sq/Theatre District
5995,170,Manhattan,Murray Hill
5996,138,Queens,LaGuardia Airport
5997,170,Manhattan,Murray Hill
5998,137,Manhattan,Kips Bay
5999,48,Manhattan,Clinton East
6000,230,Manhattan,Times Sq/Theatre District
6001,140,Manhattan,Lenox Hill East
6002,143,Manhattan,Lincoln Square West
6003,224,Manhattan,Stuy Town/Peter Cooper Village
6004,186,Manhattan,Penn Station/Madison Sq West
6005,230,Manhattan,Times Sq/Theatre District
6006,249,Manhattan,West Village
6007,137,Manhattan,Kips Bay
6008,141,Manhattan,Lenox Hill West
6009,170,Manhattan,Murray Hill
6010,161,Manhattan,Midtown Center
6011,49,Brooklyn,Clinton Hill
6012,234,Manhattan,Union Sq
6013,161,Manhattan,Midtown Center
6014,181,Brooklyn,Park Slope
6015,230,Manhattan,Times Sq/Theatre District
6016,43,Manhattan,Central Park
6017,138,Queens,LaGuardia Airport
6018,50,Manhattan,Clinton West
6019,229,Manhattan,Sutton Place/Turtle Bay North
6020,229,Manhattan,Sutton Place/Turtle Bay North
6021,50,Manhattan,Clinton West
6022,138,Queens,LaGuardia Airport
6023,142,Manhattan,Lincoln Square East
6024,37,Brooklyn,Bushwick South
6025,107,Manhattan,Gramercy
6026,43,Manhattan,Central Park
6027,263,Manhattan,Yorkville West
6028,100,Manhattan,Garment District
6029,42,Manhattan,Central Harlem North
6030,48,Manhattan,Clinton East
6031,263,Manhattan,Yorkville West
6032,143,Manhattan,Lincoln Square West
6033,233,Manhattan,UN/Turtle Bay South
6034,162,Manhattan,Midtown East
6035,261,Manhattan,World Trade Center
6036,239,Manhattan,Upper West Side South
6037,107,Manhattan,Gramercy
6038,237,Manhattan,Upper East Side South
6039,231,Manhattan,TriBeCa/Civic Center
6040,262,Manhattan,Yorkville East
6041,87,Manhattan,Financial District North
6042,233,Manhattan,UN/Turtle Bay South
6043,132,Queens,JFK Airport
6044,75,Manhattan,East Harlem South
6045,90,Manhattan,Flatiron
6046,164,Manhattan,Midtown South
6047,132,Queens,JFK Airport
6048,132,Queens,JFK Airport
6049,68,Manhattan,East Chelsea
6050,90,Manhattan,Flatiron
6051,236,Manhattan,Upper East Side North
6052,75,Manhattan,East Harlem South
6053,238,Manhattan,Upper West Side North
6054,50,Manhattan,Clinton West
6055,48,Manhattan,Clinton East
6056,234,Manhattan,Union Sq
6057,246,Manhattan,West Chelsea/Hudson Yards
6058,249,Manhattan,West Village
6059,170,Manhattan,Murray Hill
6060,107,Manhattan,Gramercy
6061,79,Manhattan,East Village
6062,264,Unknown,NV
6063,249,Manhattan,West Village
6064,114,Manhattan,Greenwich Village South
6065,264,Unknown,NV
6066,132,Queens,JFK Airport
6067,249,Manhattan,West Village
6068,138,Queens,LaGuardia Airport
6069,65,Brooklyn,Downtown Brooklyn/MetroTech
6070,107,Manhattan,Gramercy
6071,163,Manhattan,Midtown North
6072,79,Manhattan,East Village
6073,142,Manhattan,Lincoln Square East
6074,170,Manhattan,Murray Hill
6075,263,Manhattan,Yorkville West
6076,48,Manhattan,Clinton East
6077,161,Manhattan,Midtown Center
6078,229,Manhattan,Sutton Place/Turtle Bay North
6079,90,Manhattan,Flatiron
6080,162,Manhattan,Midtown East
6081,237,Manhattan,Upper East Side South
6082,42,Manhattan,Central Harlem North
6083,48,Manhattan,Clinton East
6084,48,Manhattan,Clinton East
6085,249,Manhattan,West Village
6086,162,Manhattan,Midtown East
6087,74,Manhattan,East Harlem North
6088,231,Manhattan,TriBeCa/Civic Center
6089,151,Manhattan,Manhattan Valley
6090,236,Manhattan,Upper East Side North
6091,68,Manhattan,East Chelsea
6092,170,Manhattan,Murray Hill
6093,140,Manhattan,Lenox Hill East
6094,239,Manhattan,Upper West Side South
6095,142,Manhattan,Lincoln Square East
6096,249,Manhattan,West Village
6097,236,Manhattan,Upper East Side North
6098,34,Brooklyn,Brooklyn Navy Yard
6099,138,Queens,LaGuardia Airport
6100,107,Manhattan,Gramercy
6101,69,Bronx,East Concourse/Concourse Village
6102,166,Manhattan,Morningside Heights
6103,90,Manhattan,Flatiron
6104,100,Manhattan,Garment District
6105,231,Manhattan,TriBeCa/Civic Center
6106,107,Manhattan,Gramercy
6107,143,Manhattan,Lincoln Square West
6108,164,Manhattan,Midtown South
6109,246,Manhattan,West Chelsea/Hudson Yards
6110,79,Manhattan,East Village
6111,107,Manhattan,Gramercy
6112,68,Manhattan,East Chelsea
6113,247,Bronx,West Concourse
6114,74,Manhattan,East Harlem North
6115,43,Manhattan,Central Park
6116,209,Manhattan,Seaport
6117,247,Bronx,West Concourse
6118,237,Manhattan,Upper East Side South
6119,132,Queens,JFK Airport
6120,151,Manhattan,Manhattan Valley
