,lat,lng,location_i,objectid,shape_area,shape_leng,boro,geometry
137,40.6393871,-73.97433623,133,133,0.000157189,0.065134863,Brooklyn,[[(-73.97819074399992
138,40.76550672,-73.95456794,140,140,0.000114204,0.047584291,Manhattan,[[(-73.95854329689507
139,40.72942258,-73.82398418,135,135,0.000467912,0.121793046,Queens,[[(-73.83126834299985
140,40.8648026,-73.90572032,136,136,0.000148525,0.090628715,Bronx,[[(-73.89996501599988
141,40.74035752,-73.97712049,137,137,0.000116455,0.046107624,Manhattan,[[(-73.97219641647804
142,40.76683877,-73.95971268,141,141,7.67E-05,0.041514464,Manhattan,[[(-73.96177668399997
143,40.77390593,-73.98135241,142,142,7.57E-05,0.038175894,Manhattan,[[(-73.98147898799989
144,40.81757868,-73.95432354,152,152,0.000146638,0.057909477,Manhattan,[[(-73.95357262899981
145,40.77487973,-73.87283016,138,138,0.000536797,0.107466934,Queens,[[[(-73.8712485624251
146,40.77577115,-73.98797218,143,143,0.000151094,0.054179854,Manhattan,[[(-73.98162787399998
147,40.72058154,-73.99740673,144,144,4.75E-05,0.027620167,Manhattan,[[(-73.99580912300002
148,40.74659396,-73.94869313,145,145,0.000346642,0.114313845,Queens,[[(-73.94345411699997
149,40.75452473,-73.93363873,146,146,0.000104639,0.047140522,Queens,[[(-73.93675697199996
150,40.81919841,-73.89819185,147,147,0.000106418,0.058765495,Bronx,[[(-73.89515277899991
151,40.71921043,-73.99071887,148,148,6.97E-05,0.039130502,Manhattan,[[(-73.98447731699999
152,40.87559609,-73.91105281,153,153,3.25E-05,0.024737239,Manhattan,[[(-73.90666530999995
153,40.59313577,-73.89612802,154,154,0.001789687,0.227331571,Brooklyn,[[[(-73.93531145199985
154,40.61780196,-73.90677633,155,155,0.000868261,0.169808473,Brooklyn,[[(-73.90464209220775
155,40.62879358,-74.16492852,156,156,0.001052122,0.14447689,Staten Island,[[[(-74.17989568340026
156,40.81825907,-73.91358512,159,159,0.000171249,0.064363233,Bronx,[[(-73.91189154999992
157,40.72404025,-73.90191897,157,157,0.00035437,0.131300218,Queens,[[(-73.89783236899989
158,40.73524802,-74.00838576,158,158,0.000185568,0.054809991,Manhattan,[[(-74.00779116099989
159,40.71852183,-73.88073103,160,160,0.000571235,0.141519143,Queens,[[(-73.86970765399998
160,40.7582264,-73.97743184,161,161,7.19E-05,0.03580391,Manhattan,[[(-73.97534377999993
161,40.75681613,-73.97214548,162,162,4.79E-05,0.035269815,Manhattan,[[(-73.9712170449999
162,40.7644253,-73.9783669,163,163,4.09E-05,0.034176867,Manhattan,[[(-73.98136213699995
163,40.74880822,-73.98592911,164,164,5.56E-05,0.035771612,Manhattan,[[(-73.98362519999995
164,40.74765443,-73.97694274,170,170,7.43E-05,0.045769009,Manhattan,[[(-73.97203331099983
165,40.62096216,-73.95460369,165,165,0.000353959,0.088608036,Brooklyn,[[(-73.96014773499996
166,40.80956968,-73.96181547,166,166,0.000255276,0.068823754,Manhattan,[[(-73.95707738499995
167,40.82798167,-73.90444934,167,167,0.000167529,0.090815974,Bronx,[[(-73.89690017899987
168,40.61763337,-73.9706897,178,178,0.000175805,0.068252877,Brooklyn,[[(-73.97080408199996
169,40.80744831,-73.91705963,168,168,0.000547058,0.114517434,Bronx,[[[(-73.92480953899991
170,40.84911469,-73.90502187,169,169,0.000146028,0.060104658,Bronx,[[(-73.89816577499982
171,40.76894255,-73.80887651,171,171,0.0005201,0.107353876,Queens,[[(-73.79317944599987
172,40.57244842,-74.10389173,172,172,0.000658403,0.118476116,Staten Island,[[(-74.08654858694766
173,40.75176881,-73.86307862,173,173,0.00017833,0.060063966,Queens,[[(-73.85540366099997
174,40.8768519,-73.87775692,174,174,0.000155929,0.067817756,Bronx,[[(-73.87772817699982
175,40.74343073,-73.75537747,175,175,0.000504921,0.134897665,Queens,[[(-73.75625606399988
176,40.77142085,-73.92681392,179,179,0.000183893,0.071380864,Queens,[[(-73.93290347544752
177,40.5620606,-74.1195918,176,176,0.000657782,0.151995191,Staten Island,[[(-74.12187198599999
178,40.67709867,-73.91111365,177,177,0.000198895,0.071580541,Brooklyn,[[(-73.90287079599995
179,40.67517869,-73.84937181,180,180,0.000247682,0.080527767,Queens,[[(-73.8411960569998
180,40.67202099,-73.97904359,181,181,0.00030689,0.08953724,Brooklyn,[[(-73.97583132299987
181,40.83739759,-73.85794049,182,182,9.11E-05,0.039360637,Bronx,[[(-73.85465135700002
182,40.84956854,-73.83185365,183,183,9.52E-05,0.039826296,Bronx,[[(-73.83676643699985
183,40.86480591,-73.80460622,184,184,0.001988834,0.260815683,Bronx,[[[(-73.80728647099995
184,40.85345267,-73.85517433,185,185,0.000228537,0.086161968,Bronx,[[(-73.84004614299985
185,40.7484763,-73.99245533,186,186,3.71E-05,0.02469639,Manhattan,[[(-73.99096832799995
186,40.67718167,-73.96826747,189,189,0.000101428,0.048674331,Brooklyn,[[(-73.96070974499996
187,40.66060693,-73.97094836,190,190,0.000270874,0.074329466,Brooklyn,[[(-73.96307724199983
188,40.6254545,-74.14114822,187,187,0.000421196,0.126868431,Staten Island,[[[(-74.13435269573621
189,40.65755875,-73.94519995,188,188,0.000313003,0.097798397,Brooklyn,[[(-73.95729172699996
190,40.71430676,-73.74112811,191,191,0.000688461,0.130932638,Queens,[[(-73.73016587199996
191,40.74437566,-73.8152012,192,192,0.000373808,0.11196462,Queens,[[(-73.82239598999983
192,40.76172435,-73.94028585,193,193,0.000145592,0.065529958,Queens,[[(-73.93522718099996
193,40.79143694,-73.9210244,194,194,0.000273482,0.081793835,Manhattan,[[(-73.91639852914044
194,40.72365252,-73.86401357,196,196,0.000197471,0.083242111,Queens,[[(-73.85762923599995
195,40.67546388,-74.00955288,195,195,0.000801652,0.131308244,Brooklyn,[[(-74.0071710969999
196,40.65947874,-73.73671822,203,203,0.00061513,0.189937816,Queens,[[(-73.72753500301229
197,40.69297308,-73.82903085,197,197,0.000504689,0.108568532,Queens,[[(-73.83696237799982
198,40.70453001,-73.90198333,198,198,0.00049981,0.134094243,Queens,[[(-73.90768387299997
199,40.79203729,-73.88353438,199,199,0.000288748,0.077808501,Bronx,[[(-73.88885148496313
200,40.82829233,-73.86990501,212,212,0.000161276,0.067129065,Bronx,[[(-73.88421976599987
201,40.81646786,-73.86076092,213,213,0.000904078,0.159958784,Bronx,[[[(-73.8366785639999
202,40.89985153,-73.90646344,200,200,0.000744643,0.112661735,Bronx,[[(-73.896411335
203,40.54074243,-74.20696943,204,204,0.000641384,0.101912418,Staten Island,[[(-74.2032648999999
204,40.57744987,-73.84728062,201,201,0.000619351,0.130404118,Queens,[[(-73.81849901800001
205,40.76116783,-73.95041036,202,202,0.000106175,0.069921571,Manhattan,[[(-73.94180032729437
206,40.69221614,-73.7625885,205,205,0.000766217,0.141953388,Queens,[[(-73.76636925199999
207,40.63597771,-74.12316404,206,206,0.000944393,0.212756793,Staten Island,[[(-74.08221272914942
208,40.76350762,-73.8993239,207,207,4.47E-05,0.028375683,Queens,[[(-73.90137640299986
209,40.82466576,-73.82488696,208,208,0.002020326,0.21472101,Bronx,[[[(-73.825986869
210,40.7084905,-74.00236033,209,209,3.89E-05,0.030695311,Manhattan,[[(-74.00499805099996
211,40.59377539,-73.94434292,210,210,0.000453155,0.114851983,Brooklyn,[[(-73.92759936700004
212,40.72389935,-74.00137442,211,211,3.97E-05,0.025234508,Manhattan,[[(-74.001523638
213,40.58661753,-74.08588545,214,214,0.000811977,0.135300314,Staten Island,[[(-74.08491019899996
214,40.69416663,-73.7903944,215,215,0.000395647,0.103556454,Queens,[[(-73.7769103769999
215,40.67707023,-73.82051305,216,216,0.000816077,0.116797555,Queens,[[(-73.80857655199986
216,40.70324955,-73.95684084,217,217,0.000114733,0.055390525,Brooklyn,[[(-73.95554165799997
217,40.67330221,-73.77211715,218,218,0.000281294,0.083700828,Queens,[[(-73.76561573099998
218,40.66025613,-73.76100847,219,219,0.000428176,0.15512667,Queens,[[(-73.76182231299998
219,40.68878496,-73.93144974,225,225,0.000310835,0.088799207,Brooklyn,[[(-73.91741294299997
220,40.8818912,-73.9118816,220,220,0.000313036,0.106015943,Bronx,[[(-73.89827216899992
221,40.73172749,-73.97784273,224,224,9.85E-05,0.044020446,Manhattan,[[(-73.97511055399991
222,40.73526509,-73.92931434,226,226,0.000761944,0.168957762,Queens,[[(-73.90989961499994
223,40.62023209,-74.08132832,221,221,0.000890112,0.166218221,Staten Island,[[(-74.07530550099992
224,40.64668985,-73.88206132,222,222,0.000130268,0.048389353,Brooklyn,[[[(-73.87908517399995
225,40.77820529,-73.90665664,223,223,0.000764361,0.166021925,Queens,[[(-73.90649492923363
226,40.64159694,-74.00679504,227,227,0.000268317,0.082830157,Brooklyn,[[(-73.991928124
227,40.65361748,-74.00996095,228,228,0.000993415,0.177685178,Brooklyn,[[(-73.9969179149999
228,40.75658919,-73.96517424,229,229,9.47E-05,0.04252529,Manhattan,[[(-73.96162927534907
229,40.75984468,-73.98417616,230,230,5.61E-05,0.03102831,Manhattan,[[(-73.98362433299988
230,40.71869665,-74.00671168,231,231,0.00016693,0.063420117,Manhattan,[[(-74.00931760399995
231,40.78410708,-73.9782733,239,239,0.000204715,0.063626115,Manhattan,[[(-73.97501417199996
232,40.71538428,-73.98230749,232,232,0.00021605,0.061470909,Manhattan,[[(-73.97635525199995
233,40.74917369,-73.97125455,233,233,0.000116188,0.048035918,Manhattan,[[[(-73.96547092299994
234,40.74031339,-73.99047762,234,234,7.31E-05,0.036072199,Manhattan,[[(-73.98996936399989
235,40.85350263,-73.91496798,235,235,0.000212845,0.076166843,Bronx,[[(-73.90947862999988
236,40.78049139,-73.95697238,236,236,0.000102864,0.044251922,Manhattan,[[(-73.95779380499984
237,40.76854181,-73.96569149,237,237,9.60E-05,0.0422126,Manhattan,[[(-73.96612747299989
238,40.79176595,-73.97281448,238,238,0.000184764,0.060109311,Manhattan,[[(-73.96884378999985
239,40.8947277,-73.87906526,240,240,0.000722131,0.146069764,Bronx,[[(-73.87643743099994
240,40.87597555,-73.89645019,241,241,0.000254677,0.068764578,Bronx,[[(-73.88840157099996
241,40.69013957,-73.85664593,258,258,0.00036621,0.089013379,Queens,[[(-73.8450419489999
242,40.84961264,-73.83987429,242,242,0.000360072,0.138136446,Bronx,[[(-73.83593362199987
243,40.62846582,-74.10317823,245,245,0.000466175,0.09598306,Staten Island,[[(-74.09787969199995
244,40.77849396,-73.95120935,263,263,6.58E-05,0.037016625,Manhattan,[[(-73.95218621999996
245,40.8586701,-73.93282471,243,243,0.000438377,0.0943315,Manhattan,[[(-73.93156536999994
246,40.84121884,-73.94166788,244,244,0.000359703,0.080568604,Manhattan,[[(-73.94068822000003
247,40.76009159,-73.84147195,253,253,7.83E-05,0.0360515,Queens,[[(-73.83908354399988
248,40.75243776,-74.00451221,246,246,0.000281298,0.069467194,Manhattan,[[(-74.00439976203513
249,40.82914584,-73.92513265,247,247,0.000205617,0.092967858,Bronx,[[(-73.91222180499983
250,40.83468754,-73.87101158,248,248,0.000149593,0.056919117,Bronx,[[(-73.8639374809998
251,40.73461128,-74.00249691,249,249,7.22E-05,0.036384344,Manhattan,[[(-74.00250642399995
252,40.65366447,-73.97723936,257,257,0.000138909,0.058669026,Brooklyn,[[(-73.97984261899994
253,40.83261248,-73.84958094,250,250,0.000240976,0.079626347,Bronx,[[(-73.8455308949999
254,40.61962221,-74.12323249,251,251,0.000625755,0.137711161,Staten Island,[[(-74.13107460299995
255,40.78832894,-73.81540245,252,252,0.001025264,0.158004374,Queens,[[(-73.82049919995305
256,40.88321228,-73.85827495,254,254,0.00036004,0.085886375,Bronx,[[(-73.85186563799998
257,40.71883824,-73.95713401,255,255,0.000172309,0.0623842,Brooklyn,[[(-73.96176070375392
258,40.71098028,-73.95910849,256,256,0.000168611,0.067914967,Brooklyn,[[(-73.95834207500002
259,40.89908008,-73.85639972,259,259,0.000394552,0.126750305,Bronx,[[(-73.85107116191898
260,40.74679083,-73.903715,260,260,0.000422345,0.133514155,Queens,[[(-73.90175373399988
261,40.7089752,-74.01291956,261,261,3.43E-05,0.027120456,Manhattan,[[(-74.01332610899988
262,40.77653654,-73.94582992,262,262,0.00012233,0.049063623,Manhattan,[[[(-73.94383256699986
