BoroName,BoroCode,CTLabel,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
Manhattan,1,189,18900,1018900,E,MN12,Upper West Side,3806,6761.852465,2853971.26
Queens,4,934.01,93401,4093401,I,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4114,9995.207191,5833087.836
Manhattan,1,228,22800,1022800,E,MN03,Central Harlem North-Polo Grounds,3803,5758.392313,1944083.383
Manhattan,1,36.01,3601,1003601,E,MN27,Chinatown,3809,4185.592164,1068027.178
Manhattan,1,43,4300,1004300,I,MN24,SoHo-TriBeCa-Civic Center-Little Italy,3810,5090.419937,1605585.079
Manhattan,1,59,5900,1005900,I,MN23,West Village,3810,5280.102444,1250316.263
Manhattan,1,161,16100,1016100,I,MN12,Upper West Side,3806,5716.225187,1677359.552
Staten Island,5,170.1,17010,5017010,I,SI48,Arden Heights,3901,14974.88749,11956733.57
Manhattan,1,212,21200,1021200,I,MN03,Central Harlem North-Polo Grounds,3803,5760.425534,1900292.232
Staten Island,5,208.01,20801,5020801,I,SI32,Rossville-Woodrow,3901,20661.37034,28016782.71
Staten Island,5,39,3900,5003900,I,SI08,Grymes Hill-Clifton-Fox Hills,3903,11544.585,6297287.688
Staten Island,5,47,4700,5004700,I,SI08,Grymes Hill-Clifton-Fox Hills,3903,14700.43518,9533137.572
Manhattan,1,235.02,23502,1023502,E,MN03,Central Harlem North-Polo Grounds,3803,3399.584295,447807.5701
Manhattan,1,236,23600,1023600,E,MN03,Central Harlem North-Polo Grounds,3803,9224.35649,2825824.174
Staten Island,5,170.05,17005,5017005,I,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3901,18608.41863,16127322.75
Staten Island,5,176,17600,5017600,I,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3901,26056.59967,35698298.47
Manhattan,1,25,2500,1002500,E,MN27,Chinatown,3809,4763.702704,1439387.824
Queens,4,972.02,97202,4097202,E,QN12,Hammels-Arverne-Edgemere,4114,13807.99013,6197522.375
Queens,4,972.04,97204,4097204,E,QN12,Hammels-Arverne-Edgemere,4114,10689.11437,4214119.647
Manhattan,1,210,21000,1021000,E,MN34,East Harlem North,3804,8682.717128,2157296.087
Manhattan,1,153,15300,1015300,I,MN14,Lincoln Square,3806,5674.302324,1873441.771
Bronx,2,309,30900,2030900,I,BX22,North Riverdale-Fieldston-Riverdale,3701,24935.80978,13703097.32
Bronx,2,323,32300,2032300,I,BX22,North Riverdale-Fieldston-Riverdale,3701,11248.23118,6019623.132
Manhattan,1,303,30300,1030300,E,MN01,Marble Hill-Inwood,3801,6142.662172,1685292.536
Bronx,2,118,11800,2011800,I,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,35435.20239,10839519.79
Manhattan,1,13,1300,1001300,I,MN25,Battery Park City-Lower Manhattan,3810,8906.314403,3516583.006
Bronx,2,181.02,18102,2018102,E,BX14,East Concourse-Concourse Village,3708,4351.408004,1040364.714
Bronx,2,132,13200,2013200,I,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,18609.09859,6526150.485
Staten Island,5,189.01,18901,5018901,I,SI07,Westerleigh,3903,14910.46255,11706731.43
Staten Island,5,251,25100,5025100,I,SI28,Port Richmond,3903,16988.92855,12801492.22
Manhattan,1,317.04,31704,1031704,I,MN25,Battery Park City-Lower Manhattan,3810,9073.095432,2338837.067
Manhattan,1,10.01,1001,1001001,I,MN28,Lower East Side,3809,3924.786593,867805.855
Brooklyn,3,547,54700,3054700,E,BK73,North Side-South Side,4001,5664.399698,1825050.125
Manhattan,1,10.02,1002,1001002,E,MN28,Lower East Side,3809,6315.122079,2225720.238
Brooklyn,3,163,16300,3016300,I,BK64,Prospect Heights,4006,6111.664367,1980070.659
Staten Island,5,173,17300,5017300,E,SI05,New Springville-Bloomfield-Travis,3902,8004.128325,3688472.127
Bronx,2,181.01,18101,2018101,E,BX14,East Concourse-Concourse Village,3708,4191.700489,831113.0298
Brooklyn,3,922,92200,3092200,E,BK81,Brownsville,4007,7857.783013,1745451.04
Brooklyn,3,1098,109800,3109800,I,BK82,East New York,4008,13569.35668,9189937.841
Staten Island,5,169.01,16901,5016901,I,SI07,Westerleigh,3903,16088.98137,8493340.569
Queens,4,773,77300,4077300,I,QN60,Kew Gardens,4111,9421.429696,3036965.547
Queens,4,775,77500,4077500,I,QN60,Kew Gardens,4111,7329.76951,2469601.061
Queens,4,134,13400,4013400,E,QN60,Kew Gardens,4111,6553.893516,2055311.742
Bronx,2,90,9000,2009000,I,BX09,Soundview-Castle Hill-Clason Point-Harding Park,3709,28354.45982,11115822.93
Queens,4,797.02,79702,4079702,E,QN22,Flushing,4103,8426.36838,3101260.142
Manhattan,1,8,800,1000800,E,MN27,Chinatown,3809,6362.785762,2366871.333
Bronx,2,110,11000,2011000,I,BX52,Schuylerville-Throgs Neck-Edgewater Park,3703,26196.55122,21927508.63
Bronx,2,293.02,29302,2029302,I,BX29,Spuyten Duyvil-Kingsbridge,3701,11924.76726,4681322.439
Manhattan,1,38,3800,1003800,E,MN22,East Village,3809,5840.089271,2178371.383
Queens,4,132,13200,4013200,E,QN54,Richmond Hill,4111,6670.574229,2070924.128
Staten Island,5,170.12,17012,5017012,I,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,3901,16006.96589,10807390
Staten Island,5,8,800,5000800,I,SI37,Stapleton-Rosebank,3903,14770.52814,8555206.755
Manhattan,1,9,900,1000900,I,MN25,Battery Park City-Lower Manhattan,3810,16461.00823,3133615.592
Manhattan,1,319,31900,1031900,I,MN99,park-cemetery-etc-Manhattan,3810,6097.284145,1081284.533
Brooklyn,3,543,54300,3054300,I,BK99,park-cemetery-etc-Brooklyn,4004,40356.38419,11164879.08
Manhattan,1,57,5700,1005700,I,MN23,West Village,3810,4761.914084,1159594.724
