pickup_longitude,pickup_latitude,PUCensus_Tract
-73.96282196,40.7587738,10800
-73.98221588,40.74584579,7200
-73.94970703,40.77116013,13600
0,0,
-73.98109436,40.77828598,15700
-73.95245361,40.78367615,15801
-73.79013062,40.64689636,71600
-73.99194336,40.74428177,9100
-73.97174835,40.76368713,11202
-73.983284,40.77625656,15300
-73.96531677,40.7717514,13000
-73.98737335,40.75788879,11900
-73.98429871,40.74344635,7400
-73.97874451,40.74098969,6600
-73.94564056,40.77415085,14401
-73.98756409,40.74969864,7600
-73.97590637,40.78147888,16500
-73.96330261,40.77510834,14200
-73.99880219,40.71966171,4500
-73.96340942,40.7742424,13000
-73.98564148,40.76309967,13300
-73.99645996,40.72988129,6500
-73.98921967,40.75713348,11900
-73.98596954,40.75840378,11900
-73.99786377,40.7362175,7100
-73.98213196,40.76901627,14500
-73.98983765,40.73444366,5000
-73.96798706,40.80217743,19500
-73.97416687,40.76062775,10200
-73.98197937,40.77904892,15900
-73.9770813,40.78850174,17100
-73.98969269,40.72959137,3800
-73.97389221,40.75073242,8800
-73.97805023,40.75239182,9200
-73.98887634,40.75899887,12100
-73.95610046,40.77580643,13800
-73.97119141,40.76379395,11401
-73.99318695,40.7299614,5700
-73.98545074,40.74435806,7400
-73.95068359,40.74486923,700
-73.97994995,40.78382874,16700
-74.0027771,40.76056671,11700
-73.99487305,40.73999023,5400
-73.96585846,40.75837708,10800
-73.99266815,40.76749039,13500
-73.99171448,40.73843002,5200
-73.98075867,40.77086258,14900
-73.97257233,40.74645615,7800
-73.9879303,40.75019836,10900
-73.8635025,40.76977539,33100
-73.97452545,40.76366425,11201
-73.99600983,40.73297119,6300
-73.96698761,40.80409241,19500
-73.99154663,40.75018311,10100
-73.99369049,40.72977066,5700
-73.98687744,40.76104736,12500
-73.98123169,40.76909256,14500
-73.9909668,40.75575256,11500
-73.97174835,40.75707626,10000
-73.95327759,40.77148056,13200
-74.00091553,40.73186111,7100
-74.00416565,40.74269485,8300
-73.86277008,40.76903152,33100
-73.96311188,40.76263809,11000
-73.98580933,40.75919724,12500
-74.00730133,40.71578598,3300
-73.99401855,40.75088882,10100
-73.97368622,40.7618866,10200
-73.94856262,40.77382278,13600
-74.00821686,40.73689651,7900
-73.99842072,40.74515533,9100
-74.00225067,40.74004364,8100
-73.98262024,40.77234268,14900
-73.9634552,40.77488327,13000
-73.96468353,40.76418686,12000
-73.97290039,40.75682068,10000
-73.96208954,40.77061844,12800
-73.99739838,40.75673294,11100
-73.9852829,40.7237587,3200
-73.97686005,40.75577927,9400
-73.98571014,40.74095917,6800
-73.96711731,40.75740814,9800
-73.98361969,40.75529099,9600
-73.99434662,40.74585342,9100
-73.989151,40.76036072,12700
-73.9552536,40.71997833,51700
-73.9921875,40.72160339,3601
-73.94338226,40.78946304,17000
-73.97874451,40.78513336,16700
-73.98419952,40.7375145,5000
-73.99588013,40.73807526,5400
-73.99131012,40.75019836,10100
-73.95931244,40.7678833,12600
-74.00253296,40.73358154,7100
-73.9910965,40.73986053,5400
-73.94591522,40.77346039,13600
-73.97724915,40.75431061,9400
-73.99539948,40.74944687,9500
-73.95583344,40.78006744,14802
-74.00440979,40.7080574,1501
-73.7902832,40.64687729,71600
-73.99156189,40.71753693,1800
-73.94685364,40.77183533,13600
-73.99130249,40.74488068,5800
-73.97400665,40.74707031,7800
-74.00350952,40.72615814,4900
-73.97991943,40.78121185,16300
-73.96560669,40.7954216,18500
-73.96842194,40.76473236,11402
-74.00948334,40.70709991,700
-73.9887085,40.74453354,5800
-73.98969269,40.74702072,7600
-73.9828186,40.74504089,7200
-73.99227142,40.75900269,12100
-73.97166443,40.78215408,16500
-73.98797607,40.75975037,12100
-74.00393677,40.72584534,3700
-73.99552917,40.72836304,5501
-73.97637177,40.78107834,16100
-73.95310211,40.78853226,16800
-73.78637695,40.64521027,71600
-73.99182129,40.7424202,5800
-74.0035553,40.7386055,7700
-74.00171661,40.73564911,7100
-74.00437927,40.7227211,4700
-73.96813965,40.79146576,18100
-74.0065918,40.74435806,8300
-73.98951721,40.75807571,12100
-73.97257233,40.74617004,7800
-73.97711945,40.75022125,8000
-73.97608185,40.75946045,10200
-73.99054718,40.75619888,11500
-73.9829483,40.76636124,13700
-73.97762299,40.79141235,17500
-73.99253082,40.72426224,3602
-73.98680115,40.76293945,13300
-73.98522949,40.74738312,7400
-73.99323273,40.72277069,4300
-73.99211884,40.7252388,3602
-73.98985291,40.70080185,2100
-73.99598694,40.74864197,9500
-73.98150635,40.77372742,15300
-73.9784317,40.78292465,16500
-73.7820282,40.64444351,71600
-74.00528717,40.70603561,1502
-73.99363708,40.73228455,5900
-73.98262024,40.76914215,14500
-73.98938751,40.73633957,5200
-73.98472595,40.75946426,12500
-73.98188019,40.7762146,15300
-73.97408295,40.7637558,11201
-73.99740601,40.72149277,4500
-73.99150848,40.75000763,10100
-73.98563385,40.76787186,13900
-73.96228027,40.77910233,14300
-74.00814819,40.73871613,7900
-73.9577179,40.7686615,12600
-73.96087646,40.76987839,12800
-74.0072937,40.74098206,7900
-73.78255463,40.64455795,71600
-73.97213745,40.76557541,14300
-73.98454285,40.74590683,7400
-73.97293854,40.75635529,10000
-73.96373749,40.76143265,11000
-73.81922913,40.70532608,21600
-74.01023102,40.71947861,3900
-73.95423889,40.76618958,12400
-73.96838379,40.78668594,17300
-73.96261597,40.75544357,8603
-74.01031494,40.71929932,3900
-73.97800446,40.75144577,8000
-73.78324127,40.64878845,71600
-73.9865036,40.73991013,6800
-73.98902893,40.72158051,3001
-73.98059082,40.74251938,7200
-73.96723938,40.76663208,12200
-73.97499084,40.75017548,8000
-73.96129608,40.71136093,52300
-73.95654297,40.78022385,14802
-73.96718597,40.76073456,11203
-73.97299194,40.7562027,10000
-73.9464798,40.78095627,15400
-73.98285675,40.72274017,2601
-73.97636414,40.78091049,16100
-73.9824295,40.73995972,6800
-73.96130371,40.80161285,19300
-73.96742249,40.77196121,14300
-73.95774841,40.77945709,15001
-73.99440002,40.68086243,7500
-73.99707794,40.73268127,6300
-73.95243073,40.78682327,16002
-73.98204041,40.74774933,7400
-73.97444916,40.76225662,10200
-73.97904205,40.74911499,8000
0,0,
-73.96753693,40.76308441,11402
-73.98088074,40.77470016,15300
-73.99465179,40.75062561,10300
-73.95195007,40.78170395,14802
-73.98989105,40.75651169,11300
-73.9824295,40.76581573,13700
-73.96221924,40.77909851,14300
-73.98782349,40.76040649,12700
-73.99695587,40.74234772,8700
-74.00431824,40.73786545,7700
-73.9749527,40.75611115,9400
-73.98912811,40.74060822,5600
-73.98383331,40.77132797,14900
-73.97013855,40.78926849,17700
-73.97015381,40.75685501,10000
-74.00938416,40.71047592,1502
-73.98484802,40.73249054,4800
-73.97406769,40.76398468,11201
-73.96845245,40.7865181,17300
-73.97207642,40.7655983,14300
-73.98384857,40.77375412,14900
-73.94862366,40.77788925,14402
-73.95458984,40.76979446,13400
-73.99739838,40.75687027,11100
-73.94456482,40.77981567,15200
-73.9699173,40.75315094,9000
-73.98234558,40.74495697,7200
-73.9875412,40.76556015,13300
-73.99344635,40.7271347,5502
-74.00215912,40.73497009,7300
-73.94904327,40.79423904,17401
-74.00415039,40.74785614,9900
-73.9842453,40.74041748,6800
-73.98249817,40.76792145,14500
-73.98574829,40.75634384,11900
-74.00775146,40.73220062,6900
-73.95545197,40.76826096,12400
-73.94816589,40.78965378,16600
-73.98348236,40.76618576,13900
-73.99462128,40.75049973,10100
-73.78960419,40.64373016,71600
-73.78168488,40.64461517,71600
-73.97021484,40.78409958,16900
-74.00709534,40.70738602,1502
-73.98309326,40.74450684,7200
-74.00004578,40.72678757,4900
-73.95291901,40.78038025,14802
-73.96391296,40.76537704,12000
-73.99156189,40.74924469,10100
-73.95095062,40.77481842,13800
-73.97737885,40.76077271,10400
-73.98204803,40.76591873,13700
-74.0066452,40.73016739,6700
-73.99131775,40.75019836,10100
-73.98807526,40.71890259,1800
-73.95794678,40.70856476,52500
-73.98146057,40.76891708,14500
-73.8635025,40.76993179,33100
-74.00605774,40.73464584,7300
-74.01178741,40.71380615,2100
-73.98111725,40.73328018,4800
-73.95071411,40.77932358,14602
-73.95594025,40.77866364,14801
-73.98108673,40.71351624,202
-73.98401642,40.76114655,12500
-74.01567841,40.7154007,31703
-73.99486542,40.73762894,5400
-73.95214081,40.76909256,13200
-73.97941589,40.7497406,8200
-73.99407196,40.75119019,10100
-73.99452209,40.75575638,11100
-73.97551727,40.74801254,7800
-73.97462463,40.7595253,10200
-73.98963165,40.72597504,3800
-73.94963837,40.7807579,15400
-73.99112701,40.74985504,10100
-73.95468903,40.76528931,11600
0,0,
-73.98911285,40.7340889,4200
-74.00246429,40.73965836,7700
-74.00255585,40.72839737,6500
-73.99596405,40.72504425,4300
-74.00924683,40.71327209,2100
-73.9913559,40.75000763,10100
-73.97766113,40.75421143,9400
-73.98150635,40.77842712,15700
-73.99940491,40.72193909,4500
-74.00296021,40.7233429,4700
-73.95200348,40.76622009,12400
-73.98338318,40.73821259,6400
-73.97930145,40.78707504,17100
-73.97891998,40.73613739,6000
-73.97167969,40.74988556,8800
-73.96138763,40.77489471,14200
-73.96824646,40.7552681,9800
-73.87444305,40.77397537,33100
-73.97460175,40.76096344,10200
-74.00282288,40.76052856,11700
-73.98031616,40.76593399,13700
-73.92900085,40.81906509,6300
-73.9885788,40.73635864,5000
-74.00632477,40.72184372,3300
-73.98604584,40.74701309,7600
-73.98509216,40.72397232,3200
-74.01589966,40.71128464,31704
-73.97637177,40.74796677,7800
-73.99067688,40.76586533,13300
-74.00222015,40.71942139,3300
-73.98191071,40.7209549,2202
-73.97212219,40.79434586,18300
-73.97693634,40.75470734,9400
-73.95431519,40.76412201,11600
-73.99136353,40.73890305,5200
-73.99295044,40.73826218,5400
-73.94911957,40.79703522,18600
-74.00721741,40.74183655,8300
-73.98074341,40.73393631,4800
-73.98342133,40.75672913,11900
-73.95019531,40.78694153,15802
0,0,
-73.94831848,40.77436066,13600
-73.94535065,40.78242111,15601
-74.00476837,40.74213791,8300
-73.98471069,40.72442245,3200
-73.97046661,40.79658508,18700
-73.98615265,40.77739334,15500
-74.00161743,40.75649261,9900
-73.99668884,40.75307465,10300
-73.98642731,40.74129868,5600
-73.98592377,40.7679863,13900
-73.98478699,40.78593063,16700
-73.97580719,40.75183868,9200
-73.97827911,40.74160767,6600
-73.98149109,40.72055817,2201
-73.9693222,40.75719833,9800
-73.97280121,40.782547,16500
-73.78856659,40.64145279,71600
-73.95462036,40.71875763,51700
-73.96112061,40.78056335,15001
-73.99226379,40.74946594,10100
-73.96910858,40.76451874,11401
-73.97737885,40.77970886,16100
-74.0076828,40.72354126,3700
-73.98186493,40.75566864,9600
-73.99273682,40.74044037,5400
-73.95422363,40.77860641,14801
-73.98659515,40.73979187,6800
-73.97533417,40.75232315,9200
-73.95557404,40.77270126,13400
-73.9682312,40.76542664,11401
-73.99067688,40.75631714,11500
-73.99378967,40.75201035,10300
-74.00179291,40.74087906,8300
-73.98749542,40.73674011,5000
-73.98327637,40.72635651,3200
-73.97892761,40.75596619,9400
0,0,
-73.96694183,40.75271225,9000
-74.00209045,40.74036026,8300
-73.87297058,40.77415085,33100
-73.98175049,40.74633789,7200
-73.99282074,40.74964142,10100
-74.00048828,40.75271988,10300
-73.9837265,40.73820114,6800
-73.9994812,40.72683716,5501
-73.98567963,40.73585129,5000
-73.97322083,40.75440979,9200
-73.99168396,40.76477051,13300
-73.99727631,40.71672821,4100
-73.99395752,40.74649048,9500
-73.98210907,40.77531052,15300
-73.97581482,40.75276947,9200
-73.94283295,40.81146622,22600
-73.990448,40.75595856,11300
-74.00706482,40.70786285,1502
-73.98761749,40.75043488,10900
-73.95293427,40.78272247,15801
-74.00636292,40.7120018,3100
-73.97158813,40.79517746,18300
-73.98295593,40.78207779,16300
-73.99953461,40.73337936,6300
-74.00023651,40.74284744,8700
-73.99629974,40.74314117,8700
-73.9683609,40.75888824,10800
-73.99538422,40.74939728,9500
-73.97393799,40.74754333,7800
-73.98500824,40.74193573,6800
-73.99025726,40.75268555,10900
-73.98947906,40.75283051,10900
-73.99266815,40.75434113,11100
-73.97512817,40.79008865,17500
-73.99474335,40.76597595,13500
-73.98919678,40.7212944,3001
-73.98925018,40.73039627,4000
-73.99216461,40.7495079,10100
-73.98902893,40.7494812,10100
-73.95970917,40.77687836,14200
-74.01567841,40.71476746,31703
-73.87063599,40.77360535,33100
-73.94094849,40.79264069,18000
-73.97970581,40.78450394,16700
-73.96111298,40.76080322,11000
-74.0114975,40.70849609,1300
-73.97691345,40.7475853,8000
-73.98518372,40.77879333,15900
-73.99619293,40.73685074,6300
-73.9799118,40.73928452,6600
-73.9577179,40.77380371,14000
-73.98775482,40.72849274,3800
-73.9786911,40.75443649,9400
-73.95192719,40.77770996,14601
-73.98662567,40.73511124,5000
-73.99712372,40.74691772,9100
-73.78971863,40.64360046,71600
-74.00431824,40.74228287,8300
-73.96142578,40.77145767,12800
-73.99754333,40.75698853,9900
-73.95463562,40.78387833,16001
-74.00631714,40.74045181,7900
-73.99303436,40.74134064,5800
-73.97129059,40.75123215,9000
-73.98130798,40.75370789,9600
-73.99311066,40.74481964,9100
-73.99037933,40.75654221,11500
-73.99557495,40.73313141,5900
-73.98038483,40.74823761,8000
-73.99375153,40.75002289,10100
-73.86273956,40.76887894,33100
-73.94928741,40.81280136,21500
-73.78960419,40.64358139,71600
-74.00788879,40.74065018,7900
-73.99082947,40.75092697,10100
-73.98717499,40.72927856,4000
-73.97803497,40.74891281,8000
-74.00778198,40.70986557,1502
-73.98989105,40.73950958,5200
-74.00937653,40.73809814,7900
-73.9450531,40.8133812,22600
-73.9495697,40.78091431,15400
-73.99754333,40.72577286,5501
-73.97927094,40.77164841,14300
-73.98202515,40.77150345,14900
-73.98342896,40.77590179,15300
-73.9781723,40.75254059,9200
-73.97933197,40.78172302,16100
-73.96555328,40.80109024,19500
-73.98477936,40.7485466,7600
-73.86501312,40.77026367,33100
-73.96447754,40.76787186,12000
-73.95595551,40.77189636,13400
-73.98246765,40.77256012,14900
-73.97720337,40.7636528,11201
-73.99375153,40.76199341,12900
-73.97602844,40.76384354,11201
-73.96795654,40.76263809,11402
-73.9813385,40.69350052,3100
-73.95410156,40.76430511,11600
-73.99104309,40.72346878,3601
-73.87440491,40.77407074,33100
-73.87512207,40.77400208,33100
-73.77670288,40.64521027,71600
-74.01404572,40.71688843,31703
-73.96533966,40.75514603,9800
-74.00937653,40.72577667,3700
-73.7767334,40.6451683,71600
-73.99719238,40.74708176,9300
-73.98765564,40.75511551,11300
-73.96999359,40.75666046,9800
-73.98258209,40.75084686,8200
-73.98788452,40.75618744,11300
-73.9618454,40.76798248,12600
-73.95410156,40.76398468,11600
-73.99226379,40.73541641,6100
-73.96079254,40.79713058,18900
-73.98765564,40.74981689,7600
-74.00966644,40.70552063,700
-73.97755432,40.76360321,11201
-73.99040222,40.73712158,5200
-73.98100281,40.72514725,2602
-73.99084473,40.7456131,9500
-73.98601532,40.75186157,8400
-73.95316315,40.76773453,12400
-73.98075867,40.75948334,12500
-73.96456909,40.77127075,13000
-73.92660522,40.76541138,7500
-73.96933746,40.79806519,18700
-73.95606232,40.76755142,12400
-73.98658752,40.76688766,13900
-73.96717834,40.80371094,19500
-73.98834229,40.75342178,11300
-73.98317719,40.73860168,6400
-73.984375,40.74272919,6800
-74.00706482,40.74808884,9900
-73.97235107,40.74968719,8800
-73.9396286,40.8028183,19600
-73.99508667,40.75376511,11100
-73.98866272,40.72100067,3001
-73.97499084,40.741642,6200
-73.96104431,40.77536011,14200
-73.97553253,40.75878143,10200
-73.97148132,40.79779053,18700
-73.95019531,40.7715683,13600
-73.78520203,40.64853287,71600
-73.99188995,40.7260704,3602
-73.9890976,40.75426865,11300
-73.96916199,40.79825974,18700
-73.98683929,40.74747849,7600
-74.00300598,40.73900986,7700
-73.96208954,40.80041885,19300
-73.98339844,40.73417282,4800
-74.0047226,40.74199295,8300
-73.95568085,40.77251434,13400
-73.99629974,40.72399902,4300
-73.97515869,40.79000092,17500
-73.96834564,40.75475693,9800
-74.00495911,40.74069595,7700
-73.98044586,40.76305771,13100
-73.99066162,40.72842026,3800
-73.98996735,40.75682068,11300
-73.99095917,40.75532913,11300
-74.0065155,40.74219513,8300
-74.00964355,40.71520615,2100
-73.95381927,40.68298721,24500
-74.01618195,40.71497726,31703
-73.97213745,40.76235199,11202
-74.00473785,40.74201202,8300
-73.9673996,40.7602005,10800
-73.95413208,40.78460312,16001
-73.99517822,40.74468994,9100
-73.96417236,40.77103424,13000
-73.97203827,40.78646469,17300
-73.9842453,40.76028824,12500
-73.97822571,40.74530792,7000
-73.97207642,40.75754929,10000
-74.00003052,40.72862244,6500
-73.78114319,40.64497757,71600
-73.98964691,40.76281738,12700
-73.96281433,40.76279449,11000
-73.97190094,40.76488113,11401
-73.98666382,40.74514008,7400
-73.98509216,40.76874924,14500
-73.95389557,40.77045441,13200
-73.96726227,40.7568779,9800
-74.00852203,40.70815659,1502
-73.99124146,40.74977112,10100
-73.97240448,40.78659821,17300
-73.95272827,40.78641129,16001
-73.99214935,40.74974823,10100
-73.86253357,40.76873398,33100
-73.96633148,40.76052856,10800
-74.01686859,40.70476151,31704
-73.98035431,40.75580978,9600
-73.99282074,40.72816849,5700
-73.95430756,40.82131958,22301
0,0,
-74.0014801,40.7411499,8100
-73.9897995,40.7567215,11300
-74.00247192,40.7397728,8100
-74.00434875,40.72552109,3700
-73.98331451,40.7415657,6800
-73.95937347,40.78114319,15002
-73.96472168,40.77281189,13000
-73.99224854,40.75818634,11500
-73.97903442,40.75347137,9400
-73.98506165,40.7586441,12500
-74.00584412,40.74117661,8300
-73.96579742,40.76834488,12000
-73.96444702,40.76738739,12000
-73.97150421,40.75385666,9000
-73.98368073,40.75782776,11900
-73.95573425,40.67698288,30500
-73.99461365,40.72491837,5502
-73.98956299,40.73959351,5200
-73.97988892,40.73343658,4400
-73.9783783,40.76663971,14300
-74.00791168,40.73876953,7900
-73.99765778,40.75680161,9900
-73.96582031,40.76211548,11000
-73.98177338,40.74365997,7200
-73.99182129,40.74427795,9100
-73.95885468,40.76372528,11600
-73.96053314,40.76166153,11000
-73.94864655,40.77782822,14402
-73.9368515,40.81493378,21200
-73.98497772,40.73648834,5000
-73.97055817,40.75631332,10000
-73.99021912,40.76647949,13300
-73.99839783,40.74945068,9700
-74.00653839,40.73232269,6900
-73.97039032,40.76515961,11401
-73.95467377,40.73022842,56500
-73.97815704,40.75294113,9400
-74.01011658,40.72042465,3900
-74.00597382,40.73582077,7500
-73.95328522,40.7853508,15801
-73.96096802,40.75767899,10601
-73.9770813,40.75906754,10400
-73.97149658,40.76293182,11202
-73.98490906,40.75363159,8400
-73.77671814,40.64537048,71600
-74.00759125,40.74054718,7900
-74.00133514,40.72244644,4700
-73.95552826,40.78316116,15002
-73.99319458,40.76848602,13500
-73.98199463,40.77851486,15900
-74.00217438,40.73005295,6700
-73.97239685,40.76291275,11202
-73.98147583,40.77861404,15700
-74.00595856,40.73997498,7900
-73.98023987,40.76413727,13700
-73.96697235,40.7938118,18500
-73.97258759,40.7466507,7800
-73.98118591,40.7599678,12500
