pickup_longitude,pickup_latitude,PUcity,PUdistrict
-73.99627686,40.75907516,New York,Hells Kitchen
-73.99494171,40.76991653,New York,Clinton
-73.97419739,40.76237869,New York,Midtown Center
-73.77675629,40.64548492,Jamaica,
-74.00151062,40.74121857,New York,Chelsea
-73.97913361,40.76176834,New York,Clinton
-73.95594788,40.77205658,New York,Upper East Side
-73.95217133,40.77207947,New York,Upper East Side
-73.97847748,40.73711395,New York,Kips Bay
-73.99686432,40.72026825,New York,Little Italy
-73.992836,40.74972153,New York,Chelsea
-73.98045349,40.76485062,New York,Clinton
-73.97104645,40.75539017,New York,Turtle Bay
-74.00214386,40.70908737,New York,Financial District
-74.01715088,40.70902634,New York,Battery Park City
-73.97536469,40.74559402,New York,Murray Hill
-73.98690796,40.739151,New York,Gramercy Park
-74.01126099,40.71330261,New York,Tribeca
-73.9943924,40.69013596,Brooklyn,Cobble Hill
-73.98716736,40.7480011,New York,Koreatown
-74.00166321,40.74597168,New York,Chelsea
-73.99424744,40.72004318,New York,Little Italy
-74.00119781,40.74641037,New York,Chelsea
-73.96299744,40.75818253,New York,Turtle Bay
-73.91472626,40.74356842,Woodside,Sunnyside
-74.00780487,40.73211288,New York,West Village
-73.99412537,40.74607468,New York,Chelsea
-73.99068451,40.75154114,New York,Garment District
-73.96144867,40.77479553,New York,Upper East Side
-73.98352814,40.76060867,New York,Theater District-Times Square
-73.98813629,40.75939178,New York,Theater District-Times Square
-73.99946594,40.72167587,New York,Soho
-73.99336243,40.74198532,New York,Flatiron District
-73.98316193,40.72513199,New York,East Village
-73.993927,40.74655151,New York,Chelsea
-74.00761414,40.72511292,New York,Soho
-73.96069336,40.7700119,New York,Upper East Side
-73.96443939,40.80726624,New York,Morningside Heights
-73.89765167,40.75234985,Woodside,Woodside
-73.96686554,40.79389191,New York,Upper West Side
-73.96932983,40.75343323,New York,Turtle Bay
-73.9443512,40.81455612,New York,Harlem
-73.98684692,40.77677917,New York,Lincoln Square
-73.98413086,40.74332428,New York,Midtown South Central
-73.96313477,40.77470398,New York,Upper East Side
-73.99468231,40.71810913,New York,Chinatown
-73.96311951,40.77171326,New York,Upper East Side
-73.9859314,40.74353027,New York,Midtown South Central
-73.97460175,40.78319931,New York,Upper West Side
-73.99130249,40.74754715,New York,Chelsea
-73.78329468,40.64859772,Jamaica,
-73.94823456,40.67420578,Brooklyn,Bedford-Stuyvesant
-73.99733734,40.72069931,New York,Little Italy
-73.97190857,40.75907898,New York,Midtown Center
-73.98918152,40.72633362,New York,East Village
-73.96157837,40.76761246,New York,Upper East Side
-73.97582245,40.75248337,New York,Murray Hill
-73.89070129,40.74702072,Jackson Heights,Jackson Heights
-73.97066498,40.7588501,New York,Midtown Center
-73.97975159,40.75860596,New York,Midtown Center
-74.00141907,40.73113632,New York,West Village
-73.97720337,40.75372314,New York,Midtown Center
-73.99729919,40.72419357,New York,Soho
-73.97169495,40.75780106,New York,Midtown Center
-73.96318054,40.77684784,New York,Upper East Side
-74.00286102,40.73415375,New York,West Village
-73.98155975,40.73740768,New York,Gramercy Park
-73.98233032,40.77468491,New York,Lincoln Square
-73.97331238,40.76377869,New York,Midtown Center
-74.01374817,40.71392822,New York,Tribeca
-73.99198914,40.72923279,New York,Noho
-73.97444153,40.73237228,New York,Stuyvesant Town
-73.9863205,40.74351501,New York,Midtown South Central
-73.965065,40.75982666,New York,Turtle Bay
-73.9407196,40.78861237,New York,East Harlem
-73.98234558,40.77376556,New York,Lincoln Square
-73.97229004,40.78647614,New York,Upper West Side
-73.99111176,40.73307419,New York,Greenwich Village
-73.96405792,40.80796051,New York,Morningside Heights
-74.00534058,40.70728302,New York,Financial District
-73.97771454,40.74910736,New York,Murray Hill
-73.97158813,40.75540161,New York,Midtown Center
-73.93458557,40.75112915,Long Island City,Long Island City
-73.99898529,40.75478363,New York,Hells Kitchen
-73.97827911,40.74821854,New York,Murray Hill
-73.98223877,40.74288559,New York,Kips Bay
-73.97919464,40.78513718,New York,Upper West Side
-73.97389984,40.75170898,New York,Midtown Center
-74.01593781,40.7068367,New York,Battery Park City
-73.97692108,40.75159836,New York,Murray Hill
-73.96705627,40.80392838,New York,Upper West Side
-73.97870636,40.76292038,New York,Clinton
-73.98766327,40.74422073,New York,Midtown South Central
-73.98364258,40.75563049,New York,Theater District-Times Square
-73.9777298,40.77902603,New York,Upper West Side
-74.00489044,40.70698166,New York,Financial District
-73.99495697,40.73442078,New York,Greenwich Village
-73.97743225,40.75830841,New York,Midtown Center
-73.99864197,40.7322197,New York,Greenwich Village
-73.98674011,40.72250748,New York,East Village
-73.94906616,40.77344513,New York,Yorkville
-73.95368958,40.7693634,New York,Upper East Side
-73.97353363,40.78975677,New York,Upper West Side
-74.00553894,40.71450043,New York,Civic Center
-73.97268677,40.75669861,New York,Midtown Center
-73.98835754,40.74890137,New York,Koreatown
-74.00161743,40.7514267,New York,Chelsea
-73.98793793,40.74107361,New York,Midtown South Central
-74.00159454,40.73089218,New York,West Village
-73.58739471,40.7237587,Uniondale,
-73.96784973,40.75471497,New York,Turtle Bay
-73.97991943,40.74612427,New York,Kips Bay
-73.99295044,40.75857544,New York,Clinton
-73.9934082,40.74171448,New York,Flatiron District
-73.99153137,40.74168015,New York,Flatiron District
-73.98976898,40.76256561,New York,Clinton
-74.00488281,40.72153091,New York,Tribeca
-73.97720337,40.75643539,New York,Midtown Center
-73.9589386,40.77413559,New York,Upper East Side
-73.9759903,40.75972366,New York,Midtown Center
-73.97708893,40.74754715,New York,Murray Hill
-73.95386505,40.80649185,New York,Harlem
-73.97688293,40.68340302,Brooklyn,Prospect Heights
-73.99018097,40.7617569,New York,Clinton
-73.99761963,40.68357849,Brooklyn,Carroll Gardens
-73.96574402,40.79559326,New York,Upper West Side
-73.98239899,40.77331543,New York,Lincoln Square
-73.98184967,40.77882767,New York,Lincoln Square
-73.99420929,40.75081253,New York,Chelsea
-74.00641632,40.73347473,New York,West Village
-73.98829651,40.74339294,New York,Midtown South Central
-73.98189545,40.73667526,New York,Gramercy Park
-73.98242188,40.76159286,New York,Theater District-Times Square
-73.99095154,40.74229813,New York,Midtown South Central
-73.9930191,40.72264099,New York,Lower East Side
-73.97386932,40.79203033,New York,Upper West Side
-73.94817352,40.77843094,New York,Yorkville
-73.97917938,40.75118256,New York,Midtown South Central
-73.96775055,40.79232407,New York,Upper West Side
-73.99859619,40.73387146,New York,Greenwich Village
-73.99550629,40.76445007,New York,Clinton
-73.98207855,40.74612808,New York,Kips Bay
-73.99765015,40.76521683,New York,Clinton
-73.99391937,40.73862076,New York,Flatiron District
-73.97523499,40.7634964,New York,Midtown Center
-73.98781586,40.74063492,New York,Flatiron District
-74.00826263,40.72130203,New York,Tribeca
-73.98658752,40.71591187,New York,Lower East Side
-73.97784424,40.78654861,New York,Upper West Side
-73.96945953,40.79771423,New York,Upper West Side
-73.98032379,40.76473618,New York,Clinton
-74.00527954,40.72870636,New York,West Village
-73.95950317,40.77146912,New York,Upper East Side
-73.98236847,40.77474976,New York,Lincoln Square
-74.00530243,40.72785187,New York,Soho
-73.97364044,40.76338196,New York,Midtown Center
-73.9336853,40.76305008,Astoria,Astoria
-74.00449371,40.74797058,New York,Chelsea
-73.97121429,40.7480545,New York,Murray Hill
-74.00453186,40.7376976,New York,West Village
-73.97756195,40.73822784,New York,Kips Bay
-74.01534271,40.70558167,New York,Financial District
-73.98086548,40.74206924,New York,Kips Bay
-73.97747803,40.78444672,New York,Upper West Side
-73.97322845,40.79286194,New York,Upper West Side
-73.98829651,40.75665665,New York,Theater District-Times Square
-73.98088837,40.75986099,New York,Theater District-Times Square
-73.95928192,40.76255035,New York,Upper East Side
-73.78234863,40.6447258,Jamaica,
-73.97666168,40.74784088,New York,Murray Hill
-73.95166779,40.77423859,New York,Yorkville
-73.97398376,40.76272583,New York,Midtown Center
-73.9573822,40.7858429,New York,Upper East Side
-73.9516983,40.77798843,New York,Yorkville
-73.9888382,40.73968124,New York,Flatiron District
-73.99902344,40.73434448,New York,Greenwich Village
-73.99143982,40.74801254,New York,Chelsea
-73.99581909,40.75922012,New York,Hells Kitchen
-73.95259857,40.76824188,New York,Upper East Side
-73.9561615,40.77809143,New York,Upper East Side
-73.97848511,40.77268219,New York,Lincoln Square
-74.00522614,40.7285614,New York,Soho
-73.97301483,40.78531265,New York,Upper West Side
-73.981987,40.75228119,New York,Midtown South Central
-73.98558044,40.73540497,New York,Gramercy Park
-73.95903778,40.65203094,Brooklyn,Flatbush-Ditmas Park
0,0,,
-73.97781372,40.72946167,New York,Stuyvesant Town
-73.98757172,40.72271729,New York,East Village
-73.97158813,40.75046158,New York,Turtle Bay
-73.97945404,40.73556519,New York,Gramercy Park
-73.97109985,40.75595093,New York,Midtown Center
-73.96867371,40.77022552,New York,Central Park
-73.95605469,40.69446182,Brooklyn,Bedford-Stuyvesant
-73.95812225,40.78185654,New York,Upper East Side
-73.94882965,40.79755783,New York,Harlem
-73.96871185,40.75757599,New York,Turtle Bay
-73.98564148,40.72707367,New York,East Village
-73.97902679,40.76420975,New York,Clinton
