dropoff_longitude,dropoff_latitude,DOCensus_Tract
0,0,
-73.94428253,40.79977798,18400
-73.960495,40.76840591,12600
-73.79013062,40.64689636,71600
-73.98329163,40.75045776,8400
-73.95180511,40.76943207,13200
-73.97992706,40.73244476,4400
-73.97759247,40.72579193,2800
-73.98558807,40.74810028,7600
-73.98364258,40.7440567,7400
-73.98439789,40.74285889,6800
-73.94646454,40.78305054,15601
-73.9759903,40.74481583,7000
-73.98177338,40.77917099,15900
-73.97342682,40.76397324,11201
-73.97570038,40.74474335,7800
-73.95996857,40.75802994,10601
-73.9829483,40.75938034,12500
-73.981987,40.73931122,6600
-73.98958588,40.75000381,10100
-73.96492767,40.75291824,8603
-73.99185944,40.72378159,3601
-74.01370239,40.70219421,900
-73.99362946,40.72177124,4300
-73.98069,40.7815361,16300
-73.96848297,40.75838852,10800
-73.99182129,40.74232101,5800
-73.97132874,40.79523087,18300
-73.9938736,40.7394104,5400
-73.98799133,40.75704575,11900
-74.00132751,40.73696136,7700
-73.87243652,40.7743187,33100
-73.98311615,40.75491333,9600
-73.95807648,40.78202057,15002
-74.00241852,40.74528885,8900
-73.99726868,40.7416954,8700
-73.98558044,40.71818924,1402
-73.96372986,40.77151108,13000
-74.00263214,40.73437119,7300
-73.99541473,40.74391174,9100
-74.00773621,40.73214722,6900
-73.99555969,40.76472092,12900
-73.95780182,40.73125458,56500
-73.9691391,40.79589844,18700
-73.98752594,40.71996689,3001
-73.98708344,40.75950241,12500
-73.99303436,40.74117279,5400
-73.96893311,40.76491165,11401
-73.97371674,40.67377472,15700
-73.95973206,40.81367493,21100
-73.99062347,40.76019287,12100
-73.99253082,40.75383377,11100
-73.96618652,40.80405426,19900
-74.00621033,40.70614243,700
-73.97234344,40.75637436,10000
-73.97933197,40.74053574,6600
-73.96266174,40.76987076,12800
-73.89707184,40.75809479,30902
-73.99214935,40.7336235,6100
-73.97942352,40.74630737,7200
-73.96942139,40.75941849,10000
-73.96565247,40.76279068,11000
-73.99234009,40.73942184,5400
-73.97223663,40.76528931,11401
-73.94978333,40.76862335,13200
-73.93701172,40.80195618,19400
-74.00741577,40.72947693,6900
-73.98221588,40.76529694,13700
-73.96903992,40.76428223,11401
-73.9818573,40.75550842,9600
-73.97705078,40.75160599,8000
-73.95397949,40.79026413,16800
-73.97940063,40.75585175,9600
-73.99139404,40.73933411,5400
-73.98731232,40.75949097,11900
-73.98061371,40.7589035,9600
-73.95877075,40.76568985,11800
-73.98164368,40.75587845,9600
-73.97202301,40.75017548,8800
-73.98246002,40.77151108,14900
-74.00759888,40.74285889,8300
-74.00756836,40.7105217,1501
-73.98093414,40.73966217,6600
-74.00428772,40.71713638,3300
-73.98950195,40.76276779,12700
-73.96717072,40.80609131,19900
-73.99334717,40.72956085,5700
-73.98549652,40.74105453,6800
-73.9789505,40.75260544,8200
-73.98155975,40.74306488,7200
-73.97212982,40.75476837,9200
-74.00497437,40.73202133,7300
-73.9744339,40.73758698,6200
-73.98049927,40.74245453,6600
-73.9798584,40.77610779,15300
-73.94949341,40.78173828,15400
-74.00421906,40.74751663,9300
-73.93495178,40.70471954,48500
-73.95367432,40.7189827,51900
-73.96269989,40.75490952,8603
-73.9790802,40.76050568,10400
-73.97412872,40.73983765,6200
-73.99491119,40.74007797,8700
-73.96633148,40.80485153,19900
-73.96248627,40.79921341,19300
-73.9552536,40.77783585,14801
-74.01482391,40.70912933,1300
-73.98079681,40.74033737,6600
-73.98417664,40.76092911,12500
-73.98158264,40.76091385,13100
-73.98603821,40.75428391,11300
-73.97210693,40.75738907,10000
-73.99085999,40.76836014,13500
-73.95150757,40.77392578,13600
-73.9841156,40.72135162,3001
-73.97999573,40.76525116,13700
-73.98532104,40.73179626,4000
-73.97946167,40.76257324,13100
-73.99118805,40.74996948,10100
-73.98786163,40.76630783,13900
-74.01222992,40.71696854,3900
-73.97174072,40.75624847,10000
-73.91786194,40.82878113,18302
-73.7903595,40.64377975,71600
-73.87275696,40.77428436,33100
-73.97515106,40.75156021,9200
-73.95773315,40.77011108,12600
-73.98451233,40.7598114,12500
-73.97333527,40.79109573,17900
-73.97538757,40.75259018,9200
-73.86164856,40.76832199,33100
-73.98813629,40.73801804,5200
-73.9783783,40.78290176,16500
-74.00025177,40.73965454,8100
0,0,
-73.97662354,40.73527145,6000
-73.99700928,40.72393036,4300
-74.00496674,40.73551941,7300
-73.98218536,40.76909637,14500
-73.97833252,40.78290176,16500
-73.81897736,40.79320145,97300
-73.99944305,40.72175217,4500
-73.96611023,40.76140594,11000
-73.97699738,40.75986481,10400
-73.9826889,40.72296906,2601
-73.95818329,40.80980682,20701
-73.97193909,40.78687668,17300
-74.00904846,40.73052979,6900
-73.98955536,40.72609329,3800
-73.98893738,40.72283554,3601
-73.97507477,40.75246048,9200
-73.98454285,40.72014618,3001
-73.99282074,40.72579575,5502
-73.95023346,40.7722435,13600
-73.9739151,40.76289749,11202
-73.99781799,40.72572327,4900
-73.84925079,40.66894531,6201
-73.96310425,40.80390167,19701
-74.0142746,40.70947266,1300
-73.97743988,40.75390625,9400
-73.99134064,40.75092697,10100
-73.78903961,40.64162064,71600
-73.98722076,40.72238922,3001
-73.97573853,40.74475861,7800
-73.94612122,40.77295303,13600
-73.95510101,40.76501846,12400
-73.98158264,40.77872086,15900
-73.98178864,40.7293129,3400
-73.95182037,40.74595642,700
-73.95375061,40.78175354,14802
-73.99266052,40.74808884,9500
-73.98558807,40.75953674,12500
-73.96712494,40.75656128,9800
-73.98249817,40.76021576,12500
-73.95814514,40.73330307,56300
-73.95664978,40.78023148,14802
-73.97122955,40.78354645,16900
-74.01490021,40.71429443,31703
-73.96794128,40.76267242,11402
-73.95230865,40.77814865,14602
-73.97576904,40.74139023,7000
-73.99604797,40.75891876,11700
-73.92079163,40.86672592,29300
-73.95368958,40.78207016,14802
-73.95269012,40.78640747,16001
-73.97960663,40.68226624,12901
-73.98290253,40.75838089,12500
-73.9778595,40.78310013,16500
-73.97476196,40.74182892,6200
-73.96612549,40.7923317,18100
-73.98840332,40.73907852,5200
-73.99022675,40.76173401,12700
-73.92621613,40.82645035,6300
-73.96805573,40.75794601,9800
-73.93725586,40.85112,27300
-73.96903992,40.78519821,14300
-73.95095825,40.66578674,32100
-73.94914246,40.78012085,15400
-74.00428009,40.7285614,6700
-73.87426758,40.89886475,43500
-73.98693085,40.72517776,3200
-73.98799133,40.73856735,5200
-73.9803009,40.77557755,15300
-74.01740265,40.70686722,31704
-73.96411133,40.76436615,11000
-73.95161438,40.7719574,13600
-73.97735596,40.74626923,7800
-73.97167969,40.76527405,11401
-73.99666595,40.72048569,4100
-74.01554871,40.70890045,31704
-73.96276093,40.77846146,14300
-73.98422241,40.74911499,7600
-73.97532654,40.67852783,16100
-73.96209717,40.76390839,11800
-73.95810699,40.77288818,13400
-73.99510193,40.74985886,10100
-73.95315552,40.78869247,16800
-73.98066711,40.75333405,8200
-74.00600433,40.74032593,7900
-73.99829102,40.74600983,9300
-73.99156189,40.74436188,5800
-74.00208282,40.74599075,9300
-73.96356201,40.8029213,19701
-73.99025726,40.74445724,5800
-74.00859833,40.72058868,3900
-73.97305298,40.76418686,11202
-73.99481201,40.74136734,8700
-74.0178299,40.70827866,31704
-73.98143005,40.7743721,15300
-73.98529816,40.74753952,7600
-73.96595764,40.7661438,12000
-73.98568726,40.75204086,8400
-73.97414398,40.75080109,8800
-73.98731995,40.7687645,13900
-73.97006226,40.79955673,19100
-73.9790802,40.76206589,13100
-74.00366211,40.72245026,4700
-74.00482178,40.7075386,1502
-73.95780182,40.76125336,11600
-73.96350861,40.77360916,13000
-74.00090027,40.75751877,9900
-73.97103119,40.76105881,11203
-73.94467163,40.8023262,18400
-73.98478699,40.73664856,5000
-73.94418335,40.71456146,49700
-73.97846222,40.72050095,2202
-73.94594574,40.78169632,15400
-73.98497009,40.74382019,7400
-73.98409271,40.74855804,7400
-73.98728943,40.75629044,11900
-73.99648285,40.73800278,8100
-73.99560547,40.75948715,11700
-73.97485352,40.74174118,6200
-73.9724884,40.74516678,8601
-73.94865417,40.77377319,13600
-73.97624207,40.73963547,6200
-73.92395782,40.6877327,38500
-73.78336334,40.64376831,71600
-74.00173187,40.75645828,9900
-73.97275543,40.76468658,14300
-73.9677887,40.75574875,9800
-74.01534271,40.7115097,31703
-74.00485992,40.74175644,8300
-73.9861145,40.72955322,4000
-73.97945404,40.76570129,13700
-73.99147797,40.75011444,10100
-73.95681,40.76638031,12400
-73.97361755,40.78289413,16500
-73.89875793,40.73968124,24300
0,0,
-74.00539398,40.73138046,6700
-73.99781036,40.74996948,9700
-74.00088501,40.74731064,9300
-74.00808716,40.73938751,7900
-73.99269104,40.71331024,800
-73.97941589,40.73650742,6400
-73.98413849,40.76622391,13900
-73.97499084,40.76151657,10200
-73.98556519,40.75373077,11300
-73.99303436,40.75939941,12100
-73.97322845,40.74781036,8800
-74.00101471,40.73335266,7100
-73.98025513,40.78131485,16300
-73.97489929,40.72979355,4400
-73.97041321,40.75494385,9800
-74.00852203,40.74750519,9900
-73.98635864,40.75705719,11900
-73.97589874,40.73084259,4400
-73.96910095,40.75919724,10000
-73.97814178,40.78735352,17100
-73.98607635,40.77561951,15500
-73.9462738,40.81681824,22800
-73.9983139,40.76417923,12900
-74.00692749,40.70851517,1502
-74.00669861,40.74398804,8300
-73.98691559,40.72909546,4000
-73.99094391,40.73498154,5200
-73.96704102,40.79352951,18100
-73.99398804,40.74501801,9100
-73.99658966,40.60736847,28400
-74.00927734,40.70445633,700
-73.96553802,40.80208969,19500
-73.97978973,40.76079941,13100
-73.9757843,40.76009369,10200
-73.99397278,40.73283386,6100
-73.98934937,40.74548721,5800
-73.96022797,40.80424118,19701
-73.97883606,40.73697281,6400
-73.97390747,40.74794006,7800
-73.99060822,40.7568512,11500
-73.98090363,40.72185135,2601
0,0,
-73.97568512,40.75221252,9200
-73.94017029,40.81386185,21200
-73.97351074,40.76450348,11201
-73.99576569,40.74894714,9500
-73.96849823,40.75160599,9000
-73.97607422,40.78618622,16900
-73.99420166,40.74444962,9100
-74.00461578,40.74200058,8300
-73.98677826,40.77585602,15500
-74.00406647,40.74285889,8300
-73.97859955,40.74599838,7200
-74.01622772,40.71126938,31704
-74.00695038,40.74171066,8300
-73.94534302,40.79281998,17200
-73.94781494,40.78033447,15400
-73.93968964,40.80525589,19800
-73.95043945,40.7231102,56900
-73.93955994,40.68976593,27900
-73.95663452,40.77565765,14000
-73.98226929,40.74602127,7400
-73.91690826,40.75479889,15900
-73.96996307,40.79893112,19100
-73.9794693,40.75298309,9400
-74.00421143,40.74255753,8300
-73.92567444,40.74371338,17900
-73.92282104,40.77545547,9500
-73.95320129,40.77352905,13800
-73.95939636,40.76812363,12600
-73.99017334,40.77310181,15100
-73.94585419,40.77867889,15200
-73.98331451,40.76128769,13100
-73.98117065,40.7842598,16700
-73.99384308,40.75173187,10300
-73.96499634,40.75529099,8603
-73.98599243,40.73477554,4800
-73.99513245,40.75543213,11100
0,0,
-73.96163177,40.7660141,11800
-73.99343872,40.73617935,5200
-73.97284698,40.75505066,9200
-73.87075806,40.77397537,33100
-73.98782349,40.66727829,13900
-74.00517273,40.74121094,8300
-73.99851227,40.72369766,4900
-74.00576019,40.74011993,7900
-73.99821472,40.74516678,9100
-73.98748779,40.76036453,12500
-73.97140503,40.75691986,10000
-74.00216675,40.72951889,6500
-73.87044525,40.77370834,33100
-73.96620178,40.77064514,13000
-73.97967529,40.7327652,4400
-73.9517746,40.8119278,21303
-73.98078156,40.73871231,6600
-74.00967407,40.70491791,700
-73.99449158,40.74536896,9100
-73.94604492,40.7731514,13600
-74.01241302,40.70397186,900
-73.98251343,40.77902603,15900
-73.95397186,40.77894592,14802
-73.99578857,40.72622681,5502
-73.98681641,40.76663208,13900
-73.99230957,40.72886658,5700
-73.9625473,40.77236176,12800
-73.99703217,40.72252655,4300
-73.98677063,40.74699783,7600
-73.97866821,40.75055695,8000
-73.89182281,40.72008896,66701
-73.98770142,40.7479744,7600
-74.00000763,40.75738144,9900
-73.98225403,40.76958084,14500
-73.89807129,40.81700516,8500
-74.00074005,40.74234009,8900
-73.9189682,40.7417984,23500
-73.98706055,40.7427063,5600
-74.00440979,40.74237442,8300
-73.97964478,40.77367783,15300
-73.97956848,40.75314331,9400
-73.8441391,40.78181839,92500
-73.99114227,40.72337341,3601
-73.96724701,40.77084732,13000
-73.95735931,40.78206635,15002
-73.98678589,40.72133636,3001
-73.98495483,40.74256516,5600
-73.95418549,40.76411057,11600
-73.97061157,40.75654984,10000
-73.98740387,40.72169876,3001
-73.97744751,40.78883743,17500
-74.01978302,40.63189697,13000
-73.9567337,40.76645279,12400
-73.98012543,40.73852158,6600
-73.9834671,40.72850037,3400
-73.9887619,40.72157669,3001
-73.84116364,40.72079086,73900
-73.99729919,40.74195862,8700
-73.97259521,40.75670624,10000
-73.99226379,40.76415253,12900
-73.96027374,40.76956558,12600
-73.96484375,40.68337631,20100
-74.00276947,40.74988174,9900
-73.95572662,40.77651978,14000
-73.97355652,40.7576561,10000
-74.00829315,40.72005081,3300
-73.98426056,40.76452255,13100
-74.00559235,40.73669815,7700
-73.97984314,40.73928452,6600
-73.96878815,40.75035095,9000
-73.97906494,40.79021454,17500
-73.93875885,40.82945633,23501
-73.96899414,40.75606537,9800
-74.00074768,40.68130875,6500
-73.97869873,40.74593735,7200
-73.99363708,40.72464752,5502
-73.98561096,40.741436,5600
-73.99000549,40.72325134,3601
-73.8655777,40.77083969,33100
-73.97820282,40.75260162,9200
-73.93994141,40.82206726,23200
-73.95480347,40.77224731,13400
-73.98733521,40.72248459,3001
-73.95548248,40.77920914,14801
-73.96092224,40.76411819,11800
-73.98404694,40.78039169,15900
-73.99147034,40.75003052,10100
-73.97122955,40.79281616,18100
-73.96721649,40.80171967,19500
-73.96591949,40.75830841,10800
-73.97680664,40.78259659,16500
-73.95545959,40.77339554,13400
-73.99306488,40.7577095,11500
-73.98771667,40.75805283,11900
-73.96095276,40.76675034,11800
-73.99705505,40.71670532,4100
-73.97789001,40.75382233,9400
-73.98191833,40.7692337,14500
-73.96485138,40.69353867,19100
-73.97776794,40.75753403,9400
-73.98565674,40.74399567,7400
-73.9874649,40.76698303,13900
-73.97673035,40.75157166,8000
-73.95987701,40.74282837,100
-74.00531769,40.7092247,1501
-73.95249176,40.77266312,13800
-74.00514221,40.74003983,7700
-73.92317963,40.69324875,39500
-73.99205017,40.75416565,11100
-73.97327423,40.75558472,9200
-73.95415497,40.76399231,11600
-73.98728943,40.73882675,5000
-73.9009552,40.71389771,60300
-73.9776535,40.76099014,10400
-73.95404053,40.76350784,11600
-73.98728943,40.74145126,5600
-74.00720215,40.75144958,9900
-73.9888916,40.75843048,11900
-74.00827026,40.72995377,6900
-73.9573288,40.77455521,14000
-73.98774719,40.74991989,10900
-73.98238373,40.76828766,14500
-73.97802734,40.75283813,9200
-73.97851563,40.75883865,10400
-73.92492676,40.74524307,18101
-73.99595642,40.75392151,11100
-73.95010376,40.77600098,14601
-73.96979523,40.7634201,11401
-73.9604187,40.80765915,20101
-74.00246429,40.75526047,9900
-73.99136353,40.75988388,12100
-73.94210052,40.81224823,21200
-73.97831726,40.76229095,10400
-73.99593353,40.72344971,4300
-73.96595764,40.75424576,9800
-73.99160767,40.72390366,3602
-73.98858643,40.73398972,5000
-73.93949127,40.80278778,19600
-74.00405121,40.7528038,9900
-73.97855377,40.73675919,6000
-73.9724884,40.78570938,16900
-73.96970367,40.7503891,8800
-73.98969269,40.76052856,12100
-73.96559906,40.76506042,12000
-73.95146179,40.77780533,14602
-73.96911621,40.7557869,9800
-73.97840118,40.73089981,4400
-73.87805176,40.75447083,27700
-73.92263794,40.86362839,29100
-73.9785614,40.74489975,7000
-73.95334625,40.81101608,20901
-73.98222351,40.76807022,14500
-74.00455475,40.70717239,1502
-73.97209167,40.75699615,10000
-73.91383362,40.77615356,10100
-73.98439026,40.72483826,3200
-74.01335907,40.71528244,31703
-73.93611145,40.8564682,27300
-74.00772095,40.71526718,2100
-73.98036957,40.745327,7200
-73.9804306,40.74246597,6600
-73.99108124,40.74304962,5800
-74.01494598,40.71104813,31704
-73.99803162,40.75620651,9900
-74.00859833,40.70598602,700
-73.97521973,40.68102646,12902
-73.82904053,40.75744247,85300
-73.96323395,40.75846863,10800
-73.96820068,40.76174545,11203
-73.95191956,40.76910782,13200
-73.96788025,40.76561356,12200
-74.00076294,40.73469925,7100
-73.99765778,40.75156403,10300
-73.98714447,40.75608826,11300
-73.98023987,40.76107025,13100
-73.99232483,40.75208664,10900
-73.85303497,40.71857071,70900
-74.00679016,40.74408722,8300
-74.00165558,40.71907425,3100
-73.99756622,40.75622559,11100
-73.97541809,40.75210953,9200
-73.96128845,40.75670624,10601
-74.01100922,40.71349335,2100
-73.96835327,40.76651382,12200
-73.9575119,40.76181793,10602
-73.97517395,40.75354004,9200
-73.98034668,40.76077652,13100
-74.00817108,40.74524307,9900
-73.97328949,40.78522491,16900
-73.96533966,40.76930237,12200
-74.00727081,40.72801208,3700
-73.96682739,40.79354858,18500
-73.95778656,40.77344131,13400
-74.00204468,40.74701691,9300
-73.97612,40.75529861,9400
-73.98464966,40.75392532,8400
-73.95278931,40.81087494,20901
0,0,
-73.97559357,40.73315811,6000
-73.97521973,40.7576561,10200
-74.00457764,40.74460602,8900
-73.92105865,40.87976074,29301
-73.97750092,40.76394653,13700
-73.96218109,40.77359772,13000
-73.95604706,40.78461075,16001
-73.98751831,40.74482346,7600
-73.97112274,40.76293564,11202
-73.991745,40.75622559,11500
-73.9653244,40.75473785,8603
-73.9593277,40.76935196,12600
-73.97858429,40.74840164,8000
-73.98788452,40.76515579,13300
-73.99420929,40.75054932,10100
-73.95774078,40.67090607,21900
-74.00209808,40.73465729,7300
-73.96973419,40.75736618,10000
-73.99606323,40.72539139,5502
-73.98321533,40.75537109,9600
-74.00336456,40.7318306,6700
-73.97173309,40.76356888,11202
-73.95755768,40.78104019,15002
-73.99030304,40.75646973,11300
-73.99967194,40.7541008,9900
-73.97583771,40.78804779,17500
-73.9601059,40.77381134,14000
-74.0103302,40.70197678,900
-73.9801712,40.73905182,6600
-73.78982544,40.64702988,71600
-73.98698425,40.71352005,201
-73.98096466,40.76602173,13700
-73.98834991,40.77498627,15100
-73.97285461,40.758255,10000
-73.97367859,40.7575264,10000
-73.95998383,40.71743011,55300
-73.98591614,40.7567749,11900
-74.01411438,40.71386719,31703
-73.98117828,40.65951538,16900
-73.95259094,40.76543045,12400
-73.9648056,40.76412582,12000
-73.9468689,40.78102875,15400
-73.97597504,40.76472092,11201
-73.98067474,40.73814392,6400
-74.00679779,40.73019028,6700
-74.00057983,40.74451065,8900
-74.00253296,40.7290535,6700
-73.99343872,40.73526764,6100
-74.00309753,40.72688293,4900
-73.96485901,40.81003189,20500
-73.99802399,40.71826172,4100
-73.95852661,40.76878738,12600
-73.95561218,40.77669144,14000
-73.99414825,40.7409668,5400
-74.00332642,40.73245239,7300
-73.99340057,40.74886322,9500
-73.99742126,40.75402069,11100
