STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
550,-73.9898,40.74189,New York,Midtown South Central
551,-73.97617,40.75302,New York,Murray Hill
552,-73.99161,40.77016,New York,Clinton
553,-73.97711,40.75259,New York,Midtown Center
554,-73.99229,40.74936,New York,Chelsea
555,-73.97828,40.74578,New York,Kips Bay
556,-73.96866,40.79122,New York,Upper West Side
557,-73.97985,40.78085,New York,Upper West Side
558,-73.96678,40.76104,,
559,-73.9711,40.76433,New York,Upper East Side
560,-73.94485,40.779,New York,Yorkville
561,-73.97914,40.74034,New York,Kips Bay
562,-73.98242,40.76556,New York,Clinton
563,-73.86531,40.77132,Flushing,
564,-73.9753,40.75194,New York,Midtown Center
565,-73.97714,40.77974,New York,Upper West Side
566,-73.77661,40.64535,Jamaica,
567,-73.97791,40.76301,New York,Midtown Center
568,-73.97976,40.761,New York,Theater District-Times Square
569,-73.96556,40.75873,New York,Turtle Bay
570,-73.97529,40.75238,New York,Midtown Center
571,-73.96637,40.75771,New York,Turtle Bay
572,-73.97732,40.75191,New York,Murray Hill
573,-73.99475,40.75035,New York,Chelsea
574,-73.9952,40.74428,New York,Chelsea
575,-73.96932,40.75778,New York,Turtle Bay
576,-73.98295,40.77199,New York,Lincoln Square
577,-73.96019,40.75785,New York,Sutton Place
578,-73.89146,40.72823,Maspeth,Maspeth
579,-73.97368,40.78728,New York,Upper West Side
580,-74.0099,40.71504,New York,Tribeca
581,-73.99991,40.73298,New York,Greenwich Village
582,-73.98223,40.75998,New York,Theater District-Times Square
583,-73.96203,40.7704,New York,Upper East Side
584,-73.99392,40.75143,New York,Chelsea
585,-73.98457,40.75466,New York,Theater District-Times Square
586,-73.98888,40.74833,New York,Chelsea
587,-73.94191,40.79843,New York,East Harlem
588,-73.98238,40.76834,New York,Clinton
589,-73.95596,40.77212,New York,Upper East Side
590,-74.01672,40.70945,New York,Battery Park City
591,-73.956,40.77873,New York,Upper East Side
592,-73.97032,40.79728,New York,Upper West Side
593,-73.97693,40.73897,New York,Kips Bay
594,-73.98306,40.74496,New York,Midtown South Central
595,-73.99719,40.74726,New York,Chelsea
596,-74.00519,40.71885,New York,Tribeca
597,-73.99203,40.72562,New York,East Village
598,-73.97474,40.76251,New York,Midtown Center
599,-73.98983,40.73408,New York,Greenwich Village
600,-73.95862,40.81597,New York,Morningside Heights
601,-73.99253,40.75278,New York,Garment District
602,-73.96313,40.77236,New York,Upper East Side
603,-74.01053,40.7038,New York,Financial District
604,-73.96653,40.7942,New York,Upper West Side
605,-73.9558,40.81949,New York,Harlem
606,-74.01474,40.70965,New York,Financial District
607,-73.98718,40.72234,New York,Lower East Side
608,-73.97414,40.7312,New York,Stuyvesant Town
609,-73.97656,40.74768,New York,Murray Hill
610,-73.98493,40.77411,New York,Lincoln Square
611,-73.9971,40.72396,New York,Soho
612,-73.87009,40.73224,Elmhurst,Elmhurst
613,-73.95578,40.7795,New York,Upper East Side
614,-73.99138,40.73925,New York,Flatiron District
