STT,dropoff_longitude,dropoff_latitude,DOcity,DOdistrict
134,-73.9834,40.75613,New York,Theater District-Times Square
135,-73.95739,40.78285,New York,Upper East Side
136,-73.96499,40.71428,Brooklyn,Williamsburg
137,-73.96702,40.75695,New York,Turtle Bay
138,-73.99012,40.75162,New York,Garment District
139,-73.99546,40.72625,New York,Noho
140,-73.98934,40.75162,New York,Garment District
141,-74.0027,40.75528,New York,Chelsea
142,-74.01022,40.71946,New York,Tribeca
143,-73.95597,40.78191,New York,Upper East Side
144,-73.97482,40.78786,New York,Upper West Side
145,-74.00506,40.72851,New York,Soho
146,-73.97928,40.75285,New York,Midtown Center
147,-73.9988,40.73457,New York,West Village
148,-73.99918,40.72797,New York,Greenwich Village
149,-73.97749,40.76447,New York,Clinton
150,-73.92453,40.79199,New York,
151,0,0,,
152,-73.96685,40.75986,New York,Turtle Bay
153,-73.94427,40.84244,New York,Washington Heights South
154,-73.98862,40.73698,New York,Gramercy Park
155,-73.97132,40.79552,New York,Upper West Side
156,-73.98112,40.75184,New York,Midtown South Central
157,-73.96613,40.77075,New York,Upper East Side
158,-73.96286,40.76501,New York,Upper East Side
159,-73.96819,40.76064,New York,Midtown Center
160,-73.94823,40.74833,Long Island City,Hunters Point
161,-73.97552,40.75588,New York,Midtown Center
162,-73.99778,40.73182,New York,Greenwich Village
163,-73.99395,40.72071,New York,Nolita
164,-73.98956,40.73349,New York,Greenwich Village
165,-73.99725,40.74713,New York,Chelsea
166,-73.98602,40.75837,New York,Theater District-Times Square
167,-73.94191,40.79873,New York,East Harlem
168,-73.99101,40.7192,New York,Lower East Side
169,-73.97828,40.7486,New York,Murray Hill
170,-73.88932,40.75489,Jackson Heights,Jackson Heights
171,-73.97585,40.76037,New York,Midtown Center
172,-73.97027,40.7625,New York,Midtown Center
173,-74.00783,40.74037,New York,Meatpacking District
174,-73.95639,40.71119,Brooklyn,Williamsburg
175,-73.99235,40.72661,New York,Noho
176,-73.98382,40.74335,New York,Kips Bay
177,-73.98183,40.76308,New York,Clinton
178,-74.00335,40.74857,New York,Chelsea
179,-73.95894,40.76404,New York,Upper East Side
180,-73.98117,40.75338,New York,Midtown South Central
181,-73.95616,40.77976,New York,Upper East Side
182,-73.98858,40.73653,New York,Gramercy Park
183,-73.9678,40.76449,New York,Upper East Side
184,-73.95027,40.77544,New York,Yorkville
185,-73.96887,40.75435,New York,Turtle Bay
186,-73.98179,40.76418,New York,Clinton
187,-73.95651,40.77984,New York,Upper East Side
188,-73.93952,40.74568,Long Island City,Sunnyside
189,-73.95542,40.78262,New York,Upper East Side
190,-73.98557,40.72676,New York,East Village
191,-73.92206,40.66032,Brooklyn,East Flatbush
192,-73.99737,40.72251,New York,Soho
193,-73.96826,40.76266,New York,Upper East Side
194,-73.98018,40.77541,New York,Lincoln Square
195,-73.98968,40.72025,New York,Lower East Side
196,-73.95259,40.78156,New York,Upper East Side
197,-73.98231,40.77441,New York,Lincoln Square
198,-73.97465,40.77808,New York,Upper West Side
199,-73.83536,40.76266,Flushing,Flushing
200,-73.99246,40.7642,New York,Clinton
201,-74.00415,40.75095,New York,Chelsea
202,-73.95296,40.7666,New York,Upper East Side
203,-73.97981,40.75283,New York,Midtown South Central
204,-73.95075,40.77111,New York,Upper East Side
205,-73.99061,40.75126,New York,Garment District
206,-73.99629,40.754,New York,Hells Kitchen
207,-73.95532,40.7434,Long Island City,Hunters Point
208,-73.97878,40.75785,New York,Midtown Center
209,-73.98419,40.74584,New York,Midtown South Central
210,-74.00272,40.76068,New York,Hells Kitchen
211,-74.01111,40.70842,New York,Financial District
212,-73.95662,40.78147,New York,Upper East Side
213,-73.9681,40.76548,New York,Upper East Side
214,-73.99186,40.75943,New York,Clinton
215,-73.99878,40.76053,New York,Hells Kitchen
216,-73.96582,40.79549,New York,Upper West Side
217,-73.98215,40.77186,New York,Lincoln Square
218,-74.00775,40.73221,New York,West Village
219,-73.99216,40.74175,New York,Flatiron District
220,-73.98422,40.73942,New York,Kips Bay
221,-73.96562,40.70731,Brooklyn,Williamsburg
222,-73.96318,40.76667,New York,Upper East Side
223,-73.99989,40.73462,New York,West Village
224,-73.98964,40.70179,Brooklyn,Dumbo
225,-73.98262,40.77372,New York,Lincoln Square
226,-73.97046,40.75234,New York,Turtle Bay
227,-73.97024,40.75204,New York,Turtle Bay
228,-73.99505,40.73996,New York,Chelsea
229,-73.9663,40.79068,New York,Upper West Side
230,-74.00092,40.75813,New York,Hells Kitchen
231,-73.95299,40.76827,New York,Upper East Side
232,-73.91552,40.69032,Brooklyn,Bushwick
233,-73.95848,40.81509,New York,Morningside Heights
234,-73.98053,40.76176,New York,Theater District-Times Square
235,-73.9825,40.6788,Brooklyn,Boerum Hill
236,-74.00233,40.72963,New York,West Village
237,-73.99534,40.7395,New York,Chelsea
238,-73.9878,40.71287,New York,Lower East Side
239,-73.955,40.7692,New York,Upper East Side
240,-74.01003,40.72097,New York,Tribeca
241,-73.98188,40.76536,New York,Clinton
242,-73.99188,40.75939,New York,Clinton
243,-73.9997,40.73116,New York,Greenwich Village
244,-73.97356,40.75058,New York,Turtle Bay
245,-73.94124,40.81279,New York,Harlem
246,-73.97695,40.79032,New York,Upper West Side
247,-73.97894,40.75039,New York,Midtown South Central
248,-73.99474,40.75036,New York,Chelsea
249,-73.96767,40.76293,New York,Upper East Side
250,-73.95321,40.77267,New York,Yorkville
251,-73.99511,40.74386,New York,Chelsea
252,-73.99596,40.7608,New York,Clinton
253,-74.0135,40.71542,New York,Battery Park City
254,-73.9511,40.7069,Brooklyn,East Williamsburg
255,-74.00628,40.71496,New York,Tribeca
256,-73.96546,40.77147,New York,Upper East Side
257,-73.97954,40.75307,New York,Midtown Center
258,-73.9581,40.71054,Brooklyn,Williamsburg
259,-73.99825,40.74576,New York,Chelsea
260,-74.00091,40.74197,New York,Chelsea
261,-73.98509,40.72404,New York,East Village
262,-73.87288,40.77428,Flushing,
263,-74.01366,40.71485,New York,Battery Park City
264,-73.97632,40.76362,New York,Midtown Center
265,-73.95826,40.77063,New York,Upper East Side
266,-74.00186,40.75574,New York,Chelsea
267,-73.99105,40.76755,New York,Clinton
268,-73.98227,40.72095,New York,Lower East Side
269,-74.0016,40.7401,New York,Chelsea
270,-73.97315,40.79017,New York,Upper West Side
271,-73.98164,40.76344,New York,Clinton
272,-73.99169,40.75624,New York,Garment District
273,-74.01123,40.70904,New York,Financial District
274,-73.95422,40.77854,New York,Upper East Side
275,-73.95021,40.78397,New York,Yorkville
276,-73.92469,40.70112,Brooklyn,Bushwick
277,-73.9794,40.74386,New York,Kips Bay
278,-73.95485,40.82021,New York,Hamilton Heights
279,-73.99088,40.76515,New York,Clinton
280,-73.96981,40.76329,New York,Upper East Side
281,-73.9605,40.76984,New York,Upper East Side
282,-73.81811,40.7121,Jamaica,Briarwood
283,-73.88438,40.65723,Brooklyn,East New York
284,-73.98589,40.7638,New York,Clinton
285,-73.94765,40.67511,Brooklyn,Bedford-Stuyvesant
286,-73.98669,40.7195,New York,Lower East Side
287,-73.98883,40.77413,New York,Lincoln Square
288,-73.96658,40.77232,New York,Upper East Side
289,-73.95693,40.77987,New York,Upper East Side
290,-73.95649,40.76515,New York,Upper East Side
291,-73.78565,40.71289,Jamaica,Jamaica Estates
292,-73.98816,40.73785,New York,Flatiron District
293,-73.96913,40.67587,Brooklyn,Prospect Heights
294,-73.98958,40.75706,New York,Theater District-Times Square
295,-73.99204,40.73361,New York,Greenwich Village
296,-73.98202,40.7713,New York,Lincoln Square
297,-73.96785,40.75992,New York,Midtown Center
298,-73.98441,40.74301,New York,Midtown South Central
299,-73.98569,40.779,New York,Lincoln Square
300,-73.952,40.78137,New York,Yorkville
301,-73.98546,40.73868,New York,Gramercy Park
302,-73.94782,40.7797,New York,Yorkville
303,-73.98485,40.75923,New York,Theater District-Times Square
304,-73.95303,40.72698,Brooklyn,Greenpoint
305,-73.9659,40.7563,New York,Turtle Bay
306,-73.99839,40.7321,New York,Greenwich Village
307,-73.99237,40.72125,New York,Lower East Side
308,-73.99603,40.73214,New York,Greenwich Village
309,-73.94247,40.84168,New York,Washington Heights South
310,-73.97469,40.76156,New York,Midtown Center
311,-73.9822,40.77544,New York,Lincoln Square
312,-74.00342,40.72767,New York,Soho
313,-74.00546,40.74838,New York,Chelsea
314,-73.98279,40.71471,New York,Lower East Side
315,-73.95736,40.69111,Brooklyn,Bedford-Stuyvesant
316,-74.00859,40.71999,New York,Tribeca
317,-73.99133,40.7501,New York,Chelsea
318,-73.98446,40.76481,New York,Clinton
319,-73.98932,40.77775,New York,Lincoln Square
320,-73.98073,40.76485,New York,Clinton
321,-73.98917,40.74294,New York,Midtown South Central
322,-73.94102,40.79489,New York,East Harlem
323,-73.9796,40.74056,New York,Kips Bay
324,-73.98572,40.75061,New York,Midtown South Central
325,-74.0747,40.73995,Jersey City,West Side
326,-73.99528,40.72155,New York,Nolita
327,-73.95129,40.77687,New York,Yorkville
328,-73.86887,40.7713,Flushing,
329,-73.98324,40.73454,New York,Gramercy Park
330,-73.99737,40.71943,New York,Little Italy
331,-73.98714,40.74301,New York,Midtown South Central
332,-73.95553,40.7685,New York,Upper East Side
333,-73.95179,40.73479,Brooklyn,Greenpoint
334,-73.97501,40.79057,New York,Upper West Side
335,-73.99341,40.7712,New York,Clinton
336,-73.99195,40.76971,New York,Clinton
337,-73.99363,40.74983,New York,Chelsea
338,-73.96617,40.76505,New York,Upper East Side
339,-73.9791,40.7625,New York,Clinton
340,-74.00781,40.71329,New York,Tribeca
341,-73.9661,40.79499,New York,Upper West Side
342,-73.98324,40.74941,New York,Midtown South Central
343,-73.97301,40.68964,Brooklyn,Fort Greene
344,-73.94252,40.71463,Brooklyn,East Williamsburg
345,-73.99113,40.73946,New York,Flatiron District
346,-73.99316,40.72288,New York,Nolita
347,-73.97975,40.77286,New York,Lincoln Square
348,-73.95763,40.76533,New York,Upper East Side
349,-73.95364,40.77855,New York,Yorkville
350,-74.00339,40.68149,Brooklyn,Columbia Street Waterfront District
351,-73.98805,40.76305,New York,Clinton
352,-73.92044,40.86644,New York,Inwood
353,-73.94892,40.79706,New York,East Harlem
354,-73.97346,40.76065,New York,Midtown Center
355,-73.99308,40.74207,New York,Flatiron District
356,-73.98022,40.75151,New York,Midtown South Central
357,-73.9648,40.77773,New York,Central Park
358,-73.98473,40.74794,New York,Midtown South Central
359,-73.95634,40.77561,New York,Upper East Side
360,-73.97381,40.74887,New York,Murray Hill
361,-73.96609,40.75824,New York,Turtle Bay
362,-73.9916,40.74899,New York,Chelsea
363,-73.98094,40.77831,New York,Upper West Side
364,-73.93136,40.85,New York,Washington Heights North
365,-73.98799,40.76498,New York,Clinton
366,-73.97127,40.75126,New York,Turtle Bay
367,-74.00511,40.7375,New York,West Village
368,-73.99423,40.74102,New York,Chelsea
369,-73.99473,40.66735,Brooklyn,Gowanus
370,-73.98718,40.76868,New York,Clinton
371,-73.94535,40.78681,New York,East Harlem
372,-73.99152,40.74653,New York,Chelsea
373,-73.9514,40.77098,New York,Upper East Side
374,-74.00393,40.74314,New York,Chelsea
375,-73.74162,40.61075,Lawrence,
376,-73.9565,40.8216,New York,Hamilton Heights
377,-73.97648,40.78412,New York,Upper West Side
378,-73.98112,40.76309,New York,Clinton
379,-73.98734,40.72528,New York,East Village
380,-73.99147,40.74986,New York,Chelsea
381,-73.96019,40.76648,New York,Upper East Side
382,-73.98354,40.73911,New York,Kips Bay
383,-73.98958,40.7261,New York,East Village
384,-73.96385,40.79274,New York,Upper West Side
385,-74.01059,40.70927,New York,Financial District
386,-73.9854,40.71778,New York,Lower East Side
387,-74.00611,40.59966,Brooklyn,Bath Beach
388,-73.97016,40.75734,New York,Midtown Center
389,-73.95711,40.77045,New York,Upper East Side
390,-73.7892,40.64239,Jamaica,
391,-73.98514,40.76269,New York,Theater District-Times Square
392,-73.98482,40.7685,New York,Clinton
393,-73.98406,40.75443,New York,Midtown South Central
394,-73.95663,40.76707,New York,Upper East Side
395,-73.98399,40.72545,New York,East Village
396,-73.97173,40.76307,New York,Midtown Center
397,-73.958,40.77338,New York,Upper East Side
398,-73.78319,40.64384,Jamaica,
399,0,0,,
400,-73.95306,40.78587,New York,Upper East Side
401,-73.98902,40.76928,New York,Clinton
402,-73.9961,40.72523,New York,Soho
403,-73.95002,40.79019,New York,East Harlem
404,-73.95811,40.77899,New York,Upper East Side
405,-74.00538,40.71518,New York,Civic Center
406,-73.92333,40.76425,Astoria,Astoria
407,-73.97034,40.76347,New York,Upper East Side
408,-73.90353,40.88447,Bronx,Kingsbridge
409,-73.99399,40.75009,New York,Chelsea
410,-73.9503,40.7724,New York,Yorkville
411,-73.9579,40.78141,New York,Upper East Side
412,-73.95735,40.77426,New York,Upper East Side
413,-73.97755,40.75832,New York,Midtown Center
414,-74.00518,40.74137,New York,Chelsea
415,-73.95018,40.77987,New York,Yorkville
416,-73.95081,40.78317,New York,Upper East Side
417,-73.91933,40.80757,Bronx,Port Morris
418,-73.95374,40.76694,New York,Upper East Side
419,-73.97709,40.74716,New York,Murray Hill
420,-73.93292,40.58649,Brooklyn,Sheepshead Bay
421,-73.96692,40.80585,New York,Morningside Heights
422,-73.97072,40.76161,New York,Midtown Center
423,-73.96426,40.75542,New York,Turtle Bay
424,-73.98208,40.75163,New York,Midtown South Central
425,-73.92374,40.74353,Sunnyside,Sunnyside
426,-73.98314,40.74393,New York,Kips Bay
427,-73.9825,40.74084,New York,Kips Bay
428,-73.98508,40.73493,New York,Gramercy Park
429,-73.99148,40.73105,New York,Greenwich Village
430,-74.00763,40.75165,New York,Chelsea
431,-73.97802,40.68423,Brooklyn,Park Slope
432,-74.01244,40.7071,New York,Financial District
433,-73.98761,40.75071,New York,Garment District
434,-73.97422,40.75622,New York,Midtown Center
435,-73.99109,40.74448,New York,Midtown South Central
436,-73.98995,40.71901,New York,Lower East Side
437,-73.98712,40.7208,New York,Lower East Side
438,-73.78128,40.66839,Jamaica,Rochdale
439,-73.97618,40.78093,New York,Upper West Side
440,-73.96602,40.75819,New York,Turtle Bay
441,-73.95758,40.7701,New York,Upper East Side
442,-73.9509,40.7792,New York,Yorkville
443,-73.99247,40.76415,New York,Clinton
444,-73.98301,40.78417,New York,Upper West Side
445,-73.99201,40.73518,New York,Greenwich Village
446,-73.98473,40.74415,New York,Midtown South Central
447,-73.99008,40.74666,New York,Chelsea
448,-73.9483,40.79529,New York,East Harlem
449,-73.98207,40.76941,New York,Lincoln Square
450,-73.94301,40.84007,New York,Washington Heights South
451,-73.97789,40.76353,New York,Clinton
452,-73.99225,40.73799,New York,Flatiron District
453,-73.98553,40.75635,New York,Theater District-Times Square
454,-74.00493,40.72024,New York,Tribeca
455,-73.97383,40.75717,New York,Midtown Center
456,-73.93913,40.85119,New York,Washington Heights North
457,-73.97952,40.72754,New York,East Village
458,-73.98544,40.66709,Brooklyn,Park Slope
459,-74.00703,40.70523,New York,Financial District
460,-73.98198,40.75803,New York,Theater District-Times Square
461,-73.98566,40.72722,New York,East Village
462,-73.99595,40.74694,New York,Chelsea
463,-73.95386,40.77056,New York,Upper East Side
464,-73.98027,40.72198,New York,East Village
465,-73.86563,40.77095,Flushing,
466,-73.96211,40.80532,New York,Morningside Heights
467,-74.00222,40.74694,New York,Chelsea
468,-73.98054,40.7648,New York,Clinton
469,-74.00767,40.70862,New York,Financial District
470,-73.83965,40.71648,Forest Hills,Forest Hills
471,-73.99389,40.7465,New York,Chelsea
472,-73.93612,40.66333,Brooklyn,East Flatbush
473,-73.95382,40.77081,New York,Upper East Side
474,-73.9851,40.74822,New York,Koreatown
475,-73.94614,40.82092,New York,Harlem
476,-73.97094,40.75999,New York,Midtown Center
477,-73.9612,40.75938,New York,Upper East Side
478,-73.9892,40.74807,New York,Chelsea
479,-73.95721,40.66293,Brooklyn,Prospect Lefferts Gardens
480,0,0,,
481,-73.94291,40.70491,Brooklyn,East Williamsburg
482,-73.99714,40.73577,New York,Greenwich Village
483,-73.95725,40.78277,New York,Upper East Side
484,-73.95552,40.78221,New York,Upper East Side
485,-73.98019,40.77712,New York,Lincoln Square
486,-73.99497,40.74946,New York,Chelsea
487,-73.86773,40.75341,Corona,North Corona
488,0,0,,
489,-73.94634,40.77277,New York,Yorkville
490,-73.98588,40.75545,New York,Theater District-Times Square
491,-74.00679,40.70539,New York,Financial District
492,-73.98932,40.72918,New York,East Village
493,-73.98065,40.7384,New York,Kips Bay
494,-73.99075,40.74571,New York,Midtown South Central
495,-73.95116,40.78225,New York,Yorkville
496,-73.98483,40.75371,New York,Midtown South Central
497,-73.98599,40.72793,New York,East Village
498,-73.97744,40.75822,New York,Midtown Center
499,-73.98133,40.7677,New York,Clinton
500,-73.9517,40.78185,New York,Yorkville
501,-73.99468,40.75182,New York,Chelsea
502,-73.92555,40.7585,Astoria,Astoria
503,-73.97941,40.78024,New York,Upper West Side
504,-73.99636,40.75908,New York,Hells Kitchen
505,-73.96442,40.76051,New York,Turtle Bay
506,-73.95809,40.76525,New York,Upper East Side
507,-73.77639,40.646,Jamaica,
508,-73.84099,40.70156,Richmond Hill,Richmond Hill
509,0,0,,
510,-73.98233,40.7369,New York,Gramercy Park
511,-73.9793,40.7612,New York,Midtown Center
512,-73.96079,40.76134,New York,Upper East Side
513,-73.97738,40.74801,New York,Murray Hill
514,-73.98864,40.75998,New York,Clinton
515,-73.95583,40.78243,New York,Upper East Side
516,-73.95973,40.78208,New York,Upper East Side
517,-73.99602,40.75876,New York,Hells Kitchen
518,-74.00237,40.72152,New York,Soho
519,-73.97521,40.73474,New York,Stuyvesant Town
520,-73.98998,40.75188,New York,Garment District
521,-74.00453,40.73396,New York,West Village
522,-73.97979,40.76242,New York,Clinton
523,-73.9983,40.75414,New York,Chelsea
524,-73.99611,40.7427,New York,Chelsea
525,-73.98426,40.77956,New York,Lincoln Square
526,-73.95576,40.76461,New York,Upper East Side
527,-74.00248,40.73979,New York,Chelsea
528,-73.96811,40.76539,New York,Upper East Side
529,-73.97713,40.7221,New York,East Village
530,-73.92567,40.76026,Astoria,Astoria
531,-73.96676,40.79364,New York,Upper West Side
532,-73.96358,40.77117,New York,Upper East Side
533,-73.90631,40.77488,Astoria,Ditmars Steinway
534,-73.98251,40.7744,New York,Lincoln Square
535,-73.97208,40.74556,New York,Tudor City
536,-73.96337,40.76255,New York,Upper East Side
537,-73.96761,40.78759,New York,Upper West Side
538,-73.97822,40.75238,New York,Midtown South Central
539,-73.97053,40.79896,New York,Upper West Side
540,-73.95999,40.75903,New York,Upper East Side
541,-73.98271,40.67249,Brooklyn,Park Slope
542,-73.9904,40.75137,New York,Garment District
543,-73.9737,40.75584,New York,Midtown Center
544,-73.97423,40.75003,New York,Murray Hill
545,-73.95373,40.779,New York,Yorkville
546,-73.96437,40.7622,New York,Upper East Side
547,-74.00266,40.76065,New York,Hells Kitchen
548,-73.96628,40.76557,New York,Upper East Side
549,-73.99472,40.71662,New York,Chinatown
550,-74.00816,40.74536,New York,Chelsea
551,-73.97409,40.73738,New York,Kips Bay
552,-73.98897,40.75305,New York,Garment District
553,-73.99304,40.74126,New York,Flatiron District
554,-73.99163,40.76788,New York,Clinton
555,-73.9677,40.7585,New York,Turtle Bay
556,-73.98104,40.78843,New York,Upper West Side
557,-73.96052,40.76799,New York,Upper East Side
558,-73.95198,40.78172,New York,Upper East Side
559,-73.96116,40.77482,New York,Upper East Side
560,-73.98428,40.78016,New York,Upper West Side
561,-73.95678,40.76663,New York,Upper East Side
562,-73.99235,40.7494,New York,Chelsea
563,-73.97401,40.73991,New York,Kips Bay
564,-73.81477,40.73704,Flushing,Kew Garden Hills
565,-73.98211,40.77298,New York,Lincoln Square
566,-73.94526,40.6809,Brooklyn,Bedford-Stuyvesant
567,-73.9784,40.78305,New York,Upper West Side
568,-74.00813,40.73822,New York,West Village
569,-73.94307,40.79371,New York,East Harlem
570,-73.98567,40.74121,New York,Midtown South Central
571,-73.97312,40.74825,New York,Murray Hill
572,-73.95775,40.77943,New York,Upper East Side
573,-73.98422,40.76455,New York,Clinton
574,-73.98131,40.76484,New York,Clinton
575,-73.95493,40.77595,New York,Yorkville
576,-73.97755,40.78436,New York,Upper West Side
577,-73.96707,40.7593,New York,Turtle Bay
578,-73.88909,40.73921,Elmhurst,Elmhurst
579,-73.94804,40.77651,New York,Yorkville
580,-74.0162,40.7145,New York,Battery Park City
581,-74.00531,40.72859,New York,Soho
582,-73.97819,40.75342,New York,Midtown Center
583,-73.98158,40.77109,New York,Lincoln Square
584,-73.98975,40.75727,New York,Theater District-Times Square
585,-73.95536,40.77123,New York,Upper East Side
586,-74.01001,40.72016,New York,Tribeca
587,-73.97669,40.78579,New York,Upper West Side
588,-73.97647,40.75178,New York,Midtown Center
589,-73.98205,40.78479,New York,Upper West Side
590,-74.00772,40.70713,New York,Financial District
591,-73.95901,40.77084,New York,Upper East Side
592,-73.99434,40.73624,New York,Greenwich Village
593,-73.9816,40.77345,New York,Lincoln Square
594,-73.96422,40.68295,Brooklyn,Clinton Hill
595,-73.98724,40.76093,New York,Clinton
596,-73.99126,40.75041,New York,Chelsea
597,-73.97946,40.72754,New York,East Village
598,-73.95359,40.77114,New York,Upper East Side
599,-74.01478,40.71684,New York,Battery Park City
600,-73.95686,40.81397,New York,Morningside Heights
601,-73.96269,40.77405,New York,Upper East Side
602,-73.96821,40.7621,New York,Midtown Center
603,-73.93009,40.68483,Brooklyn,Bedford-Stuyvesant
604,-73.95962,40.77973,New York,Upper East Side
605,-74.00772,40.74398,New York,Chelsea
606,-73.87133,40.7742,Flushing,East Elmhurst
