STT,dropoff_longitude,dropoff_latitude,DOCensus_Tract
358,-73.98473,40.74794,7400
359,-73.95634,40.77561,14000
360,-73.97381,40.74887,8800
361,-73.96609,40.75824,10800
362,-73.9916,40.74899,10100
363,-73.98094,40.77831,15700
364,-73.93136,40.85,26900
365,-73.98799,40.76498,13300
366,-73.97127,40.75126,9000
367,-74.00511,40.7375,7700
368,-73.99423,40.74102,8700
369,-73.99473,40.66735,11700
370,-73.98718,40.76868,13900
371,-73.94535,40.78681,16400
372,-73.99152,40.74653,9500
373,-73.9514,40.77098,13200
374,-74.00393,40.74314,8300
375,-73.74162,40.61075,411600
376,-73.9565,40.8216,22301
377,-73.97648,40.78412,16500
378,-73.98112,40.76309,13100
379,-73.98734,40.72528,3800
380,-73.99147,40.74986,10100
381,-73.96019,40.76648,11800
382,-73.98354,40.73911,6800
383,-73.98958,40.7261,3800
384,-73.96385,40.79274,14300
385,-74.01059,40.70927,1300
386,-73.9854,40.71778,1402
387,-74.00611,40.59966,28200
388,-73.97016,40.75734,10000
389,-73.95711,40.77045,13400
390,-73.7892,40.64239,71600
391,-73.98514,40.76269,13100
392,-73.98482,40.7685,14500
393,-73.98406,40.75443,8400
394,-73.95663,40.76707,12600
395,-73.98399,40.72545,3200
396,-73.97173,40.76307,11202
397,-73.958,40.77338,14000
398,-73.78319,40.64384,71600
399,0,0,
400,-73.95306,40.78587,16001
401,-73.98902,40.76928,13500
402,-73.9961,40.72523,4300
403,-73.95002,40.79019,16800
404,-73.95811,40.77899,15001
405,-74.00538,40.71518,3100
406,-73.92333,40.76425,6100
407,-73.97034,40.76347,11401
408,-73.90353,40.88447,28500
409,-73.99399,40.75009,10100
410,-73.9503,40.7724,13600
411,-73.9579,40.78141,15002
412,-73.95735,40.77426,14000
413,-73.97755,40.75832,10400
414,-74.00518,40.74137,8300
415,-73.95018,40.77987,15400
416,-73.95081,40.78317,15801
417,-73.91933,40.80757,2500
418,-73.95374,40.76694,12400
419,-73.97709,40.74716,8000
420,-73.93292,40.58649,59800
421,-73.96692,40.80585,19900
422,-73.97072,40.76161,11203
423,-73.96426,40.75542,8603
424,-73.98208,40.75163,8200
425,-73.92374,40.74353,18101
426,-73.98314,40.74393,7200
427,-73.9825,40.74084,6800
428,-73.98508,40.73493,4800
429,-73.99148,40.73105,5700
430,-74.00763,40.75165,9900
431,-73.97802,40.68423,12901
432,-74.01244,40.7071,1300
433,-73.98761,40.75071,10900
434,-73.97422,40.75622,9200
435,-73.99109,40.74448,5800
436,-73.98995,40.71901,1800
437,-73.98712,40.7208,3001
438,-73.78128,40.66839,29400
439,-73.97618,40.78093,16500
440,-73.96602,40.75819,10800
441,-73.95758,40.7701,12600
442,-73.9509,40.7792,14602
443,-73.99247,40.76415,12900
444,-73.98301,40.78417,16300
445,-73.99201,40.73518,6100
446,-73.98473,40.74415,7400
447,-73.99008,40.74666,9500
448,-73.9483,40.79529,17401
449,-73.98207,40.76941,14500
450,-73.94301,40.84007,24500
451,-73.97789,40.76353,13700
452,-73.99225,40.73799,5400
453,-73.98553,40.75635,11900
454,-74.00493,40.72024,3300
455,-73.97383,40.75717,10000
456,-73.93913,40.85119,27300
457,-73.97952,40.72754,3400
458,-73.98544,40.66709,13900
459,-74.00703,40.70523,700
460,-73.98198,40.75803,12500
461,-73.98566,40.72722,3800
462,-73.99595,40.74694,9500
463,-73.95386,40.77056,13200
464,-73.98027,40.72198,2601
465,-73.86563,40.77095,33100
466,-73.96211,40.80532,19701
467,-74.00222,40.74694,9300
468,-73.98054,40.7648,13700
469,-74.00767,40.70862,1502
470,-73.83965,40.71648,76901
471,-73.99389,40.7465,9500
472,-73.93612,40.66333,35500
473,-73.95382,40.77081,13400
474,-73.9851,40.74822,7600
475,-73.94614,40.82092,22102
476,-73.97094,40.75999,10000
477,-73.9612,40.75938,10602
478,-73.9892,40.74807,10100
479,-73.95721,40.66293,32700
480,0,0,
481,-73.94291,40.70491,49100
482,-73.99714,40.73577,6300
483,-73.95725,40.78277,15002
484,-73.95552,40.78221,14802
485,-73.98019,40.77712,15700
486,-73.99497,40.74946,9500
487,-73.86773,40.75341,40700
488,0,0,
489,-73.94634,40.77277,13600
490,-73.98588,40.75545,11300
491,-74.00679,40.70539,700
492,-73.98932,40.72918,3800
493,-73.98065,40.7384,6400
494,-73.99075,40.74571,5800
495,-73.95116,40.78225,15400
496,-73.98483,40.75371,8400
497,-73.98599,40.72793,3800
498,-73.97744,40.75822,10400
499,-73.98133,40.7677,13700
500,-73.9517,40.78185,15400
501,-73.99468,40.75182,10300
502,-73.92555,40.7585,5700
503,-73.97941,40.78024,16100
504,-73.99636,40.75908,11700
505,-73.96442,40.76051,10800
506,-73.95809,40.76525,11800
507,-73.77639,40.646,71600
508,-73.84099,40.70156,13000
509,0,0,
510,-73.98233,40.7369,6400
511,-73.9793,40.7612,10400
512,-73.96079,40.76134,11000
513,-73.97738,40.74801,8000
514,-73.98864,40.75998,12100
515,-73.95583,40.78243,15002
516,-73.95973,40.78208,15002
517,-73.99602,40.75876,11500
518,-74.00237,40.72152,4700
519,-73.97521,40.73474,6000
520,-73.98998,40.75188,10900
521,-74.00453,40.73396,7300
522,-73.97979,40.76242,13100
523,-73.9983,40.75414,10300
524,-73.99611,40.7427,8700
525,-73.98426,40.77956,15900
526,-73.95576,40.76461,11600
527,-74.00248,40.73979,8100
528,-73.96811,40.76539,11401
529,-73.97713,40.7221,2000
530,-73.92567,40.76026,5900
531,-73.96676,40.79364,18500
532,-73.96358,40.77117,12800
533,-73.90631,40.77488,11300
534,-73.98251,40.7744,15300
535,-73.97208,40.74556,8601
536,-73.96337,40.76255,11000
537,-73.96761,40.78759,14300
538,-73.97822,40.75238,9200
539,-73.97053,40.79896,18700
540,-73.95999,40.75903,10602
541,-73.98271,40.67249,13500
542,-73.9904,40.75137,10900
543,-73.9737,40.75584,9200
544,-73.97423,40.75003,8800
545,-73.95373,40.779,14602
546,-73.96437,40.7622,11000
547,-74.00266,40.76065,11700
548,-73.96628,40.76557,12000
549,-73.99472,40.71662,1600
550,-74.00816,40.74536,9900
551,-73.97409,40.73738,6200
552,-73.98897,40.75305,10900
553,-73.99304,40.74126,5400
554,-73.99163,40.76788,13500
555,-73.9677,40.7585,10800
556,-73.98104,40.78843,17100
557,-73.96052,40.76799,12600
558,-73.95198,40.78172,14802
559,-73.96116,40.77482,14200
560,-73.98428,40.78016,15900
561,-73.95678,40.76663,12400
562,-73.99235,40.7494,10100
563,-73.97401,40.73991,6200
564,-73.81477,40.73704,80900
565,-73.98211,40.77298,14900
566,-73.94526,40.6809,26900
567,-73.9784,40.78305,16700
568,-74.00813,40.73822,7900
569,-73.94307,40.79371,18000
570,-73.98567,40.74121,5600
571,-73.97312,40.74825,8800
572,-73.95775,40.77943,14801
573,-73.98422,40.76455,13100
574,-73.98131,40.76484,13700
575,-73.95493,40.77595,13800
576,-73.97755,40.78436,16700
577,-73.96707,40.7593,10800
578,-73.88909,40.73921,48500
579,-73.94804,40.77651,14402
580,-74.0162,40.7145,31703
581,-74.00531,40.72859,3700
582,-73.97819,40.75342,9400
583,-73.98158,40.77109,14900
584,-73.98975,40.75727,11900
585,-73.95536,40.77123,13400
586,-74.01001,40.72016,3900
587,-73.97669,40.78579,17100
588,-73.97647,40.75178,9200
589,-73.98205,40.78479,16700
590,-74.00772,40.70713,700
591,-73.95901,40.77084,13400
592,-73.99434,40.73624,6300
593,-73.9816,40.77345,14900
594,-73.96422,40.68295,20100
595,-73.98724,40.76093,12700
596,-73.99126,40.75041,10100
597,-73.97946,40.72754,3400
598,-73.95359,40.77114,13400
599,-74.01478,40.71684,31703
600,-73.95686,40.81397,21100
601,-73.96269,40.77405,13000
602,-73.96821,40.7621,11203
603,-73.93009,40.68483,29500
604,-73.95962,40.77973,15001
605,-74.00772,40.74398,9900
606,-73.87133,40.7742,33100
607,-73.94912,40.68716,25100
608,-73.96973,40.76136,11203
609,-73.96826,40.75933,10000
610,-73.96327,40.80375,19701
611,-73.97408,40.76469,11201
612,-73.98299,40.76481,13700
613,-73.97206,40.7656,14300
614,-73.97071,40.75684,10000
615,-74.00226,40.73466,7300
616,-74.01244,40.717,3900
617,-73.97717,40.7368,6200
618,-73.99313,40.74244,5800
619,-73.98257,40.76267,13100
620,-74.00197,40.72633,4900
621,-73.95422,40.77545,13800
622,-73.99691,40.73285,6300
623,-73.96382,40.67745,20500
624,-73.9848,40.76053,12500
625,-73.9432,40.77756,15200
626,-73.98857,40.76359,13300
627,-73.98494,40.74838,7600
628,-73.98944,40.75776,12100
629,-73.79023,40.64682,71600
630,-73.99185,40.73869,5400
631,-74.01039,40.71115,1300
632,-73.98715,40.77063,14500
633,-73.95911,40.80102,19702
634,-73.91152,40.86105,25700
635,-73.9961,40.7204,4100
636,-73.96806,40.78716,17300
637,-73.9874,40.76041,12500
638,-73.96331,40.76255,11000
639,-73.99375,40.75683,11500
640,-73.98794,40.73246,4200
641,-73.96602,40.80011,19100
642,-73.96885,40.76497,11401
643,-73.98353,40.73832,6800
644,-73.99472,40.74558,9100
645,-73.98363,40.7666,13900
646,-73.97954,40.78377,16700
647,0,0,
648,-73.94988,40.6767,31500
649,-73.95254,40.78336,15801
650,-73.96267,40.69381,19100
651,-73.94611,40.83037,23700
652,-73.9523,40.773,13800
653,-73.98871,40.73421,5000
654,0,0,
655,-73.98448,40.72566,3200
656,-73.99476,40.73638,6300
657,-73.89065,40.74706,28900
658,-73.97887,40.75916,10400
659,-73.99059,40.73487,5200
660,-73.97495,40.75559,9200
661,-73.9915,40.7499,10100
662,-73.97275,40.79579,18300
663,-73.97081,40.79679,18700
664,-73.95653,40.77757,14000
665,-73.95213,40.77325,13800
666,-73.95746,40.76443,11600
667,-73.96074,40.80715,20101
668,-74.00486,40.75194,9900
669,-73.96233,40.77819,14200
670,-74.00468,40.74206,8300
671,-73.97994,40.76055,10400
672,-74.0066,40.74061,7900
673,-73.96199,40.77358,12800
674,-73.95488,40.71649,51900
675,-73.98775,40.74896,7600
676,-73.97315,40.78677,16900
677,-73.9762,40.78251,16500
678,-73.95599,40.71395,51900
679,-73.88189,40.87989,41900
680,-73.99,40.74428,5800
681,-73.92761,40.68359,38300
682,-73.98647,40.75884,11900
683,-73.98089,40.7734,15300
684,-74.00452,40.75189,9900
685,-73.97628,40.75066,8000
686,-73.91575,40.76418,15500
687,-73.9725,40.74976,8800
688,-73.96993,40.76157,11203
689,-73.9996,40.74412,8900
690,-73.9745,40.78302,16500
691,-73.9901,40.73515,5200
692,-73.86479,40.77037,33100
693,-73.95192,40.77777,14601
694,-73.96622,40.79325,18500
695,-73.99301,40.71789,1600
696,-73.99428,40.69308,502
697,-73.9916,40.75014,10100
698,-73.92786,40.75995,5700
699,-73.96576,40.77422,14300
700,-74.00771,40.7155,2100
701,-73.98358,40.76105,12500
702,-74.00353,40.70799,1501
703,-73.98031,40.76916,14300
704,-73.99838,40.71886,4100
705,-73.97293,40.75953,10200
706,-73.97222,40.79634,18300
707,-74.00569,40.74054,7900
708,-73.99764,40.75649,11100
709,-73.98453,40.737,5000
710,-73.96795,40.76139,11203
711,-73.97015,40.76833,14300
712,0,0,
713,-73.9207,40.74316,18300
714,-73.99026,40.74619,7600
715,-74.00546,40.75113,9900
716,-73.95965,40.77322,12800
717,-73.93595,40.75194,3300
718,-73.96966,40.76626,12200
719,-73.98369,40.78079,15900
720,0,0,
721,-74.0077,40.70528,700
722,-73.97387,40.74402,7800
723,-73.95231,40.77196,13200
724,-74.00685,40.74898,9900
725,-74.00788,40.73273,6900
726,-73.96929,40.76385,11401
727,-74.00313,40.72675,4900
728,-73.96713,40.79357,18100
729,-73.98458,40.7303,4000
730,-73.97911,40.76675,13700
731,-74.00866,40.73814,7900
732,-73.99295,40.75216,10900
733,-73.98484,40.7558,11900
734,-73.9895,40.7286,3800
735,-73.96459,40.77763,14300
736,-73.91237,40.77099,11700
737,-73.95657,40.77102,13400
738,-73.90585,40.84893,23302
739,-73.97485,40.74207,7000
740,-73.9826,40.76366,13100
741,-73.9903,40.7329,6100
742,-73.98874,40.74345,5800
743,-73.9799,40.76174,13100
744,-73.96009,40.80139,19701
745,-73.98175,40.72758,3200
746,-73.98694,40.7685,13900
747,-74.00686,40.70577,700
748,-73.98813,40.75917,11900
749,-74.0151,40.7048,1300
750,-73.9597,40.77521,14000
751,-73.95908,40.77464,14000
752,-73.9942,40.72929,5700
753,-73.78997,40.6433,71600
754,-74.00448,40.7523,9900
755,-73.98211,40.76901,14500
756,-73.9878,40.72101,3001
757,-73.97665,40.75526,9400
758,-73.96344,40.77675,14200
759,-73.97601,40.72378,2602
760,-74.00715,40.74148,7900
761,-73.9847,40.75112,8400
762,-73.86183,40.7684,33100
763,-73.99532,40.74995,10300
764,-73.99978,40.72241,4900
765,-73.9823,40.74095,6800
766,-73.96769,40.76309,11402
767,-73.98897,40.73087,4200
768,-73.99555,40.76705,13500
769,-73.99108,40.71467,1600
770,-73.97564,40.72418,2400
771,-73.95487,40.76521,11600
772,-73.99103,40.75026,10100
773,-74.01656,40.7167,31703
774,0,0,
775,-73.96555,40.76359,11402
776,-73.99395,40.74636,9500
777,-74.00909,40.74081,7900
778,-73.95901,40.68374,23100
779,-73.97993,40.74969,8200
780,-73.97959,40.75301,9400
781,-73.97531,40.75164,9200
782,-73.97741,40.68096,12901
783,-73.99014,40.77156,14700
784,-73.98544,40.76345,13300
785,-73.98841,40.718,1800
786,-73.98208,40.75884,12500
787,-73.96768,40.76033,11203
788,-73.99699,40.73359,6300
789,-73.99523,40.75212,10300
790,-73.98727,40.74444,5600
791,-74.01506,40.70928,31704
792,-73.99388,40.73573,6300
793,-73.97085,40.7586,10000
794,-73.99472,40.76013,12100
795,-73.97251,40.69145,18300
796,-73.78755,40.6457,71600
797,-73.96258,40.75534,8603
798,-73.98963,40.75216,10900
799,-73.96702,40.75335,9000
800,-73.99446,40.72121,4300
801,-73.96865,40.76149,11203
802,0,0,
803,-73.97898,40.75375,9400
804,-73.99042,40.75687,11500
805,-73.98572,40.77794,15500
806,-73.98815,40.76158,12700
807,-73.97844,40.65878,16900
808,-73.97871,40.7627,13700
809,-73.9865,40.74287,5600
810,-73.99037,40.75143,10900
811,0,0,
812,-73.99841,40.72285,4300
813,-73.98906,40.72293,3601
814,-73.98962,40.72635,3800
815,-73.99468,40.74283,9100
816,-73.98239,40.78182,16300
817,-74.01175,40.70816,1300
818,-73.96224,40.76769,12000
819,-73.94886,40.78154,15400
820,-73.95269,40.78343,15801
821,-73.96961,40.8001,19100
822,-73.97733,40.75193,8000
823,-73.98899,40.75847,12100
824,-73.97577,40.77652,15700
825,-73.97091,40.75549,9800
826,-73.99608,40.72609,5502
827,-73.98636,40.75964,12500
828,-73.98223,40.76667,13700
829,0,0,
830,-73.98566,40.73095,4000
831,-73.97191,40.74994,8800
832,-74.00754,40.70512,700
833,-74.0011,40.74456,8900
834,-73.96838,40.79313,18100
835,-73.98274,40.76232,13100
836,-73.99156,40.74965,10100
837,-74.00168,40.73935,7700
838,-74.00152,40.72615,4900
839,-73.99034,40.75652,11500
840,-73.95016,40.79284,16800
841,-73.96064,40.76564,11800
842,-73.97849,40.73713,6400
843,-73.95421,40.76655,12400
844,-73.97627,40.75203,9200
845,-73.98508,40.76945,14500
846,-73.94536,40.78251,15601
847,-73.96325,40.76338,11000
848,-73.97912,40.75601,9600
849,-73.99563,40.76463,12900
850,-73.95714,40.77526,14000
851,-73.98129,40.75155,8200
852,-73.98269,40.76478,13700
853,-73.98491,40.76021,12500
854,-73.96219,40.77371,13000
855,0,0,
856,-73.97406,40.7512,8800
857,-73.97665,40.77747,15700
858,-73.97748,40.75383,9400
859,-74.00685,40.74387,8300
860,-73.99455,40.74612,9100
861,-73.94066,40.67809,27100
862,-73.9718,40.75713,10000
863,-73.99585,40.71889,4100
864,-73.95363,40.77025,13200
865,-74.00069,40.71514,2900
866,-73.99131,40.75053,10100
867,-74.00824,40.74888,9900
868,-74.00191,40.73043,6700
869,-73.98972,40.73315,4200
870,-73.98974,40.72073,3001
871,-73.98171,40.77862,15900
872,-73.98824,40.73461,5000
873,-73.95524,40.76923,13400
874,-73.99032,40.75156,10900
875,-73.96036,40.7696,12600
876,-73.9605,40.7758,14200
877,-74.00471,40.74685,8900
878,-74.00248,40.76075,11700
