STT,pickup_longitude,pickup_latitude,PUCensus_Tract
174,-73.86377,40.76995,33100
175,-73.98266,40.74247,6800
176,-73.98442,40.75692,11900
177,-74.00766,40.71036,1501
178,-74.00739,40.74348,9900
179,-73.97874,40.73677,6400
180,-73.97627,40.7599,10400
181,-73.96506,40.77253,13000
182,-73.98864,40.73651,5000
183,-74.001,40.74172,8100
184,-73.98262,40.75701,11900
185,-73.95687,40.77113,13400
186,-73.97337,40.76372,11202
187,-73.97393,40.79201,17900
188,-73.78991,40.64702,71600
189,-73.99507,40.76029,12900
190,-73.97991,40.72263,2601
191,-74.00459,40.72152,4700
192,-73.99124,40.73265,6100
193,-73.99237,40.75651,11500
194,-73.96484,40.79152,18100
195,-74.00129,40.71888,3100
196,-73.97918,40.75546,9400
197,-73.98515,40.76344,13100
198,-73.9693,40.7854,17300
199,-73.90084,40.75387,29300
200,-73.99257,40.76339,12700
201,-73.99199,40.75933,12100
202,-73.95462,40.76384,11600
203,-73.99634,40.76354,12900
204,-73.87338,40.77401,33100
205,-73.95208,40.77771,14601
206,-73.9927,40.7635,12900
207,-73.97576,40.75825,10200
208,-73.97878,40.75785,9600
209,-73.99188,40.7219,3601
210,-73.9753,40.76141,10400
211,-74.01013,40.7201,3900
212,-73.97795,40.78926,17500
213,-73.96089,40.77547,14200
214,-73.9484,40.78232,15400
215,-73.98789,40.7322,4000
216,-73.96499,40.80672,19900
217,-73.97861,40.76155,10400
218,-73.98909,40.75876,12100
219,-73.98883,40.76927,13500
220,-73.98756,40.72542,3800
221,-73.99928,40.739,8100
222,-73.99767,40.72091,4500
223,-73.96188,40.76768,11800
224,-73.97805,40.7522,8200
225,-74.0048,40.73758,7700
226,-73.95235,40.76577,12400
227,-74.00033,40.76162,11700
228,-73.99466,40.73319,6100
229,-73.97154,40.78212,14300
230,-73.97801,40.75225,8200
231,-73.98829,40.73762,5200
232,-73.94061,40.71178,49500
233,-73.96005,40.7734,12800
234,-73.98847,40.7505,10900
235,-73.98561,40.70064,2100
236,-73.97449,40.75297,9200
237,-73.98482,40.74771,7400
238,-74.00087,40.72584,4900
239,-73.95487,40.77763,14801
240,-74.00613,40.73434,7300
241,-73.99025,40.75619,11300
242,-73.9766,40.75906,10200
243,-73.99193,40.71496,1600
244,-73.78229,40.64473,71600
245,-73.95434,40.80593,25700
246,-73.98235,40.77087,14900
247,-74.00571,40.75088,9900
248,-73.98567,40.76302,13300
249,-73.96153,40.77161,12800
250,-73.95294,40.78299,15801
251,-74.01629,40.71124,31704
252,-73.99177,40.74344,5800
253,-73.99216,40.75928,12100
254,-73.98947,40.7294,3800
255,-73.98409,40.72716,3200
256,-73.98884,40.73658,5000
257,-73.97114,40.75783,10000
258,-74.00589,40.73609,7700
259,-73.98613,40.72248,3002
260,-73.86614,40.77018,33100
261,-73.98344,40.74419,7200
262,-73.98969,40.7471,7600
263,-73.98287,40.73132,4000
264,-73.97277,40.76228,11202
265,-73.97927,40.74437,7200
266,-73.97263,40.7435,8601
267,-73.98721,40.75702,11900
268,-73.98058,40.73042,3400
269,-73.98856,40.73752,5200
270,-73.99303,40.76794,13500
271,-73.98844,40.77448,15100
272,-73.99304,40.73708,5400
273,-74.00065,40.71841,3100
274,-73.95722,40.76792,12600
275,-73.96329,40.76424,11000
276,-73.99227,40.71507,1600
277,-73.98556,40.73535,4800
278,-73.87456,40.77413,33100
279,-73.97867,40.73654,6000
280,-73.99722,40.7252,4900
281,-73.97114,40.75592,10000
282,-73.98034,40.75144,8200
283,-73.97294,40.68966,18300
284,-73.98286,40.76176,13100
285,-73.94174,40.7218,47700
286,-73.98954,40.72552,3800
287,-73.98435,40.78008,15900
288,-73.96336,40.76605,12000
289,-73.98361,40.77484,15300
290,-73.94812,40.78287,15400
291,-73.98514,40.74741,7400
292,-73.95361,40.78206,14802
293,-73.96261,40.71255,55100
294,-73.97579,40.79179,17900
295,-74.00613,40.73375,7300
296,-73.96254,40.77879,14300
297,-73.97151,40.76287,11202
298,-74.00143,40.72525,4900
299,-73.9978,40.75635,11100
300,-73.95771,40.78227,15002
301,-74.00881,40.71917,3900
302,-73.97589,40.75473,9400
303,-73.96362,40.77437,13000
304,-73.95823,40.71811,55300
305,-74.00677,40.73582,7500
306,-73.98572,40.76302,13300
307,-73.99573,40.73356,6300
308,-74.00319,40.73503,7300
309,-73.98971,40.77171,14700
310,-73.96971,40.78576,17300
311,-73.96877,40.79891,19100
312,-74.00463,40.74695,8900
313,-73.987,40.74131,5600
314,-74.00273,40.71839,3100
315,-74.00435,40.70759,1502
316,-73.99686,40.73714,6300
317,-73.98874,40.71955,1800
318,-73.97738,40.76459,13700
319,-73.98838,40.76918,13900
320,-73.96787,40.76281,11402
321,-73.96727,40.76008,10800
322,-74.00018,40.7616,11700
323,-73.97183,40.75023,8800
324,-73.87495,40.77398,33100
325,-74.0747,40.74014,6900
326,-74.00008,40.72366,4900
327,-73.97056,40.75911,10000
328,-74.00374,40.726,4900
329,-73.95892,40.76361,11600
330,-73.98653,40.75648,11900
331,-73.98101,40.75491,9600
332,-73.99713,40.71927,4100
333,-73.95179,40.73482,57900
334,-73.97084,40.79859,18700
335,-73.97234,40.78649,16900
336,-73.98152,40.76975,14500
337,-73.98687,40.73383,5000
338,-73.9577,40.7687,12600
339,-74.00018,40.722,4900
340,-73.9924,40.74527,9500
341,-73.97948,40.76651,13700
342,-73.97842,40.76502,13700
343,-73.95086,40.72381,56900
344,-73.95324,40.77591,13800
345,-74.00344,40.73276,7300
346,-73.98288,40.72717,3200
347,-73.97095,40.79837,18700
348,-74.00617,40.74134,8300
349,-74.01133,40.71109,1300
350,-73.969,40.76451,11401
351,-73.99179,40.72633,3602
352,-73.98128,40.76011,12500
353,-73.98854,40.75456,11300
354,-73.99459,40.75138,10300
355,-73.97994,40.72036,2202
356,-74.00468,40.70726,1502
357,-73.9715,40.7818,14300
358,-73.98965,40.72992,4200
359,-74.0029,40.73916,7700
360,-73.98314,40.72672,3200
361,-73.96821,40.76511,11401
362,-73.9924,40.74334,5800
363,-73.95244,40.78362,15801
364,-73.99131,40.73025,5700
365,-73.97306,40.75326,9200
366,-73.9703,40.75704,10000
367,-73.98885,40.74381,5800
368,-73.99218,40.73802,5400
369,-73.97248,40.67735,16100
370,-73.97925,40.75292,9400
371,-73.9373,40.79771,18800
372,-73.99948,40.7301,6500
373,-73.9639,40.77447,13000
374,-73.97997,40.74903,8200
375,-73.77682,40.64534,71600
376,-73.98543,40.73683,5000
377,-73.97378,40.76302,11202
378,-73.95535,40.77854,14801
379,-74.01681,40.70852,31704
380,-73.97668,40.75482,9400
381,-73.97252,40.75529,9200
382,-73.9807,40.748,8200
383,-73.97789,40.72937,2800
384,-73.96976,40.75697,9800
385,-73.99195,40.75408,10900
386,-73.87309,40.77412,33100
387,-73.7822,40.64464,71600
388,-73.99038,40.75692,11500
389,-73.95138,40.78101,15400
390,-74.00163,40.72768,4900
391,-73.96564,40.75798,10800
392,-73.98237,40.77648,15300
393,-73.99932,40.73405,7100
394,-73.9657,40.76278,11402
395,-73.9825,40.7311,3400
396,-73.99921,40.76068,11700
397,-73.96981,40.76578,11401
398,-73.98546,40.75153,8400
399,0,0,
400,-73.94543,40.77435,14401
401,-73.96091,40.76985,12800
402,-73.98695,40.72973,4000
403,-73.97861,40.77235,14300
404,-73.95424,40.78707,16001
405,-73.98613,40.72653,3800
406,-73.98915,40.71848,1800
407,-73.98505,40.75276,8400
408,-73.77671,40.6454,71600
409,-73.97544,40.752,9200
410,-73.97893,40.78513,16700
411,-73.94483,40.79425,17200
412,-73.98453,40.76932,14500
413,-73.98087,40.76322,13100
414,-73.99942,40.75942,11700
415,-73.98074,40.77925,15700
416,-73.9911,40.74563,9500
417,-73.94827,40.81657,21703
418,-73.9664,40.7615,11000
419,-73.98927,40.73028,4000
420,-74.00304,40.73328,7300
421,-73.97097,40.79856,18700
422,-73.99871,40.76067,11700
423,-73.95265,40.76654,12400
424,-73.94873,40.78166,15400
425,-73.98628,40.75737,11900
426,-73.98635,40.7571,11900
427,-73.98335,40.76086,12500
428,-73.98704,40.75614,11900
429,-73.97772,40.73825,6600
430,-73.9918,40.73114,5700
431,-73.99088,40.69299,900
432,-73.99106,40.75023,10100
433,-73.97466,40.75658,9400
434,-73.97948,40.763,13700
435,-73.9934,40.74206,5800
436,-74.00616,40.73528,7500
437,-73.98978,40.74,5600
438,-73.78114,40.6449,71600
439,-73.99177,40.76487,13500
440,-73.96113,40.76067,10602
441,-73.94896,40.78183,15400
442,-73.98124,40.74713,7200
443,-73.98204,40.76859,14500
444,-73.97132,40.78312,16900
445,-73.98883,40.74531,5800
446,-73.98063,40.75359,9400
447,-73.87454,40.77409,33100
448,-73.95248,40.77839,14602
449,-73.95405,40.76698,12400
450,-73.94883,40.77093,13600
451,-73.98758,40.7501,10900
452,-73.97727,40.76459,13700
453,-73.97519,40.75224,9200
454,-73.99397,40.74739,9500
455,-73.98954,40.73747,5200
456,-73.99638,40.74809,9500
457,-73.96737,40.77234,14300
458,-73.9931,40.68279,7500
459,-73.99362,40.74571,9100
460,-74.00177,40.73061,6700
461,-73.98757,40.69621,1300
462,-74.00588,40.74011,7900
463,-73.95336,40.77942,14602
464,-74.01146,40.71059,1300
465,-73.96856,40.78666,17300
466,-73.98764,40.77039,14700
467,-74.00631,40.73348,7300
468,-73.98525,40.74797,7600
469,-73.97912,40.72798,3400
470,-73.95913,40.7718,12800
471,-73.98207,40.76342,13100
472,-73.86316,40.76928,33100
473,-74.0066,40.73941,7900
474,-74.00261,40.73962,7700
475,-73.98137,40.75871,12500
476,-73.8853,40.77301,33100
477,-73.97027,40.76252,11202
478,-73.9922,40.75991,12100
479,-73.97837,40.75238,8200
480,0,0,
481,-73.95405,40.71932,51700
482,-73.98613,40.76733,13900
483,-73.98984,40.73415,4200
484,-73.96945,40.78512,14300
485,-73.98689,40.76142,12700
486,-73.99082,40.74156,5800
487,-73.78201,40.64458,71600
488,0,0,
489,-73.95056,40.77742,14602
490,-73.99124,40.7703,13500
491,-73.87305,40.77407,33100
492,-73.98467,40.76384,13100
493,-73.96483,40.76019,10800
494,-73.98295,40.74175,6800
495,-73.96995,40.7576,10000
496,-74.00845,40.72085,3900
497,-74.00406,40.73759,7700
498,-73.97919,40.74421,7000
499,-73.96263,40.77845,14200
500,-73.97498,40.7931,17900
501,-73.94006,40.67213,34300
502,-74.01135,40.71485,2100
503,-73.98865,40.7226,3001
504,-73.99601,40.74881,9700
505,-73.95758,40.77021,13400
506,-73.96973,40.75771,10000
507,-73.95348,40.74139,700
508,-73.98753,40.75987,12500
509,0,0,
510,-73.87501,40.77401,33100
511,-73.98417,40.76117,12500
512,-73.96232,40.79498,18900
513,-74.00185,40.73561,7300
514,-74.00284,40.75527,9900
515,-73.96494,40.77496,13000
516,-73.94752,40.77939,15200
517,-73.98453,40.74853,7600
518,-74.00841,40.73406,7500
519,-73.95652,40.7749,13800
520,-73.98121,40.75341,8400
521,0,0,
522,-73.98202,40.76281,13100
523,-73.99438,40.75127,10300
524,-73.96112,40.76935,12800
525,-73.96182,40.75985,11000
526,-73.95399,40.77457,13800
527,-74.00401,40.73275,7300
528,-73.95515,40.76493,11600
529,-73.99401,40.7282,5502
530,-73.94632,40.79559,17402
531,-73.95436,40.76413,11600
532,-73.96275,40.77831,14200
533,-74.00321,40.72694,3700
534,-73.96472,40.75584,8603
535,-73.98285,40.73082,3400
536,-73.97821,40.7782,15700
537,-73.98145,40.76442,13700
538,-74.00404,40.72588,3700
539,-73.98435,40.77561,15500
540,-73.78209,40.64458,71600
541,-73.98013,40.68985,3300
542,-73.9516,40.76651,12400
543,-74.00306,40.74936,9900
544,-73.86291,40.76852,33100
545,-73.96811,40.76452,11402
546,-73.87299,40.77418,33100
547,-73.96756,40.77177,14300
548,-73.9549,40.7836,16001
549,-74.0026,40.73414,7300
550,-73.9898,40.74189,5800
551,-73.97617,40.75302,9200
552,-73.99161,40.77016,13500
553,-73.97711,40.75259,9200
554,-73.99229,40.74936,10100
555,-73.97828,40.74578,7200
556,-73.96866,40.79122,17700
557,-73.97985,40.78085,16100
558,-73.96678,40.76104,10800
559,-73.9711,40.76433,11401
560,-73.94485,40.779,15200
561,-73.97914,40.74034,6600
562,-73.98242,40.76556,13700
563,-73.86531,40.77132,33100
564,-73.9753,40.75194,9200
565,-73.97714,40.77974,16100
566,-73.77661,40.64535,71600
567,-73.97791,40.76301,10400
568,-73.97976,40.761,13100
569,-73.96556,40.75873,10800
570,-73.97529,40.75238,9200
571,-73.96637,40.75771,10800
572,-73.97732,40.75191,8000
573,-73.99475,40.75035,10100
574,-73.9952,40.74428,9100
575,-73.96932,40.75778,9800
576,-73.98295,40.77199,14900
577,-73.96019,40.75785,10601
578,-73.89146,40.72823,49700
579,-73.97368,40.78728,17300
580,-74.0099,40.71504,2100
581,-73.99991,40.73298,6300
582,-73.98223,40.75998,12500
583,-73.96203,40.7704,12800
584,-73.99392,40.75143,10100
585,-73.98457,40.75466,11300
586,-73.98888,40.74833,10100
587,-73.94191,40.79843,18200
588,-73.98238,40.76834,14500
589,-73.95596,40.77212,13400
590,-74.01672,40.70945,31704
591,-73.956,40.77873,14801
592,-73.97032,40.79728,18700
593,-73.97693,40.73897,6200
594,-73.98306,40.74496,7400
595,-73.99719,40.74726,9700
596,-74.00519,40.71885,3300
597,-73.99203,40.72562,3602
598,-73.97474,40.76251,11201
599,-73.98983,40.73408,4200
600,-73.95862,40.81597,21100
601,-73.99253,40.75278,10900
602,-73.96313,40.77236,13000
603,-74.01053,40.7038,900
604,-73.96653,40.7942,18500
605,-73.9558,40.81949,22302
606,-74.01474,40.70965,31704
607,-73.98718,40.72234,3001
608,-73.97414,40.7312,4400
609,-73.97656,40.74768,7800
610,-73.98493,40.77411,15100
611,-73.9971,40.72396,4300
612,-73.87009,40.73224,68700
613,-73.95578,40.7795,14801
614,-73.99138,40.73925,5400
615,-73.97693,40.7493,8000
616,-74.00886,40.71591,2100
617,-73.9745,40.74693,7800
618,-73.98716,40.76592,13300
619,-73.99201,40.75429,11100
620,-73.99162,40.7264,3800
621,-73.94526,40.79362,17200
622,-73.97357,40.76359,11201
623,-73.99013,40.7145,1401
624,-73.97402,40.75725,10200
625,-73.97405,40.751,8800
626,-73.95567,40.77234,13400
627,-73.98184,40.7708,14900
628,-73.99874,40.74488,9100
629,-74.01132,40.71659,3900
630,-73.98255,40.73533,4800
631,-73.98103,40.74428,7200
632,-73.98709,40.76119,12700
633,-73.9712,40.75834,10000
634,-73.96761,40.8026,19500
635,-73.95958,40.71505,55300
636,-73.98429,40.72898,3400
637,-73.9931,40.74236,5800
638,-73.97299,40.7852,16900
639,-73.98602,40.76232,13100
640,-73.97727,40.7769,15700
641,-73.93758,40.79711,18800
642,-73.98314,40.75552,9600
643,-73.99037,40.75128,10900
644,-73.9959,40.76726,13500
645,-73.98942,40.77307,15100
646,-73.94463,40.77948,15200
647,0,0,
648,-73.98981,40.72568,3800
649,-73.87445,40.77405,33100
650,-74.0099,40.71277,2100
651,-73.98953,40.7572,11900
652,-73.98567,40.74983,8400
653,-74.01,40.7208,3900
654,0,0,
655,-73.9782,40.75222,8200
656,-73.98061,40.76432,13700
657,-73.99586,40.76433,12900
658,-74.00776,40.74313,9900
659,-73.97549,40.75603,9400
660,-73.96147,40.77164,12800
661,-74.00069,40.73073,6500
662,-73.99736,40.72307,4300
663,-73.99129,40.77462,15100
664,-73.95307,40.77173,13200
665,-73.99443,40.71926,1800
666,-73.97802,40.7526,9200
667,-73.96789,40.80122,19100
668,-73.9786,40.77776,15700
669,-73.9675,40.80287,19500
670,-73.97155,40.7612,11202
671,-73.87443,40.77398,33100
672,-74.0083,40.71464,2100
673,-73.96047,40.76991,12600
674,-73.99058,40.7184,1800
675,-73.97757,40.75857,10400
676,-73.97226,40.79645,18300
677,-73.98502,40.74263,5600
678,-73.95878,40.7166,55300
679,-74.00244,40.73436,7300
680,-74.00693,40.72993,6900
681,-73.97826,40.77745,15700
682,-73.97823,40.74798,8000
683,-73.96114,40.76512,11800
684,-73.98475,40.75727,11900
685,-73.95898,40.76376,11800
686,-73.93731,40.7443,17900
687,-73.97249,40.75596,10000
688,-73.98432,40.74318,5600
689,-73.99518,40.7251,5502
690,-73.95378,40.77458,13800
691,-73.98227,40.77669,15300
692,-73.9833,40.78168,16300
693,-73.77672,40.64538,71600
694,-73.96088,40.78098,14300
695,-74.00159,40.74099,8100
696,-73.98038,40.74271,7200
697,-73.98516,40.74189,5600
698,-73.98176,40.74098,6800
699,-73.9591,40.77153,13400
700,-73.99389,40.72693,5502
701,-73.98652,40.75554,11300
702,-73.95742,40.78279,15002
703,-73.95362,40.77536,13800
704,-73.96885,40.79083,17700
705,-73.95665,40.7678,12600
706,-73.9736,40.78468,16900
707,-74.00162,40.73547,7100
708,-74.00146,40.74112,8100
709,-73.99159,40.75998,12100
710,-73.98692,40.75363,11300
711,-73.86372,40.76942,33100
712,0,0,
713,-73.98158,40.76338,13100
714,-73.98193,40.7383,6400
715,-73.99733,40.74697,9300
716,-73.96307,40.77503,14200
717,-73.79066,40.64387,71600
718,-73.96223,40.76765,12000
719,-73.97634,40.75015,8000
720,0,0,
721,-74.01684,40.70757,31704
722,-73.95357,40.77537,13800
723,-73.97258,40.76235,11202
724,-73.94493,40.82413,23100
725,-73.9797,40.77113,14900
726,-73.95943,40.77729,14200
727,-73.99526,40.71364,800
728,-73.96711,40.80382,19500
729,-73.97427,40.7539,9200
730,-73.97083,40.76743,14300
731,-73.99762,40.72058,4100
732,-74.00457,40.74697,8900
733,-73.98926,40.72128,3001
734,-73.97502,40.74598,7800
735,-73.96345,40.78207,14300
736,-73.93949,40.74995,1900
737,-73.9558,40.77958,14801
738,-73.78187,40.64479,71600
739,-73.99244,40.71353,600
740,-73.98526,40.76871,14500
741,-73.99626,40.7428,8700
742,-74.00092,40.75798,9900
743,-73.98394,40.75573,11900
744,-73.96679,40.79404,18500
745,-73.9934,40.72237,4300
746,-73.96283,40.77658,14200
747,-74.01605,40.71451,31703
748,-73.9673,40.76136,11203
749,-74.00032,40.76132,11700
750,-73.79068,40.64645,71600
751,-73.95381,40.77879,14602
752,-73.9777,40.74243,7000
753,-73.94458,40.77981,15200
754,-73.99068,40.74449,5800
755,-73.98925,40.7398,5600
756,-73.99127,40.7278,4200
757,-73.95702,40.78048,15002
758,-73.97036,40.79689,18700
759,-74.00884,40.71918,3900
760,-73.99203,40.72401,3602
761,-73.98683,40.76156,12700
762,-73.97386,40.73973,6200
763,-73.97956,40.78811,17100
764,-73.98461,40.74606,7400
765,-73.99054,40.7443,5800
766,-73.9621,40.76735,11800
767,-73.99695,40.72259,4300
768,-74.00364,40.73234,7300
769,-73.988,40.73189,4000
770,-74.00649,40.73854,7900
771,-73.98225,40.73198,4800
772,-73.98544,40.76055,12500
773,-73.99068,40.71727,1800
774,0,0,
775,-73.9666,40.79346,18500
776,-73.98785,40.75512,11300
777,-74.01126,40.72968,6900
778,-74.00092,40.74731,9300
779,-74.00505,40.71937,3300
780,-73.99156,40.75008,10100
781,-73.97591,40.74056,6600
782,-73.98677,40.66855,13900
783,-73.98761,40.75511,11300
784,-74.00377,40.7483,9900
785,-74.01277,40.70999,1300
786,-73.97447,40.76253,11201
787,-73.99028,40.75649,11300
788,-73.97947,40.75523,9400
789,-73.98358,40.72187,3002
790,-73.97616,40.75925,10200
791,-73.99187,40.74255,5800
792,-73.99209,40.75828,12100
793,-73.95436,40.76414,11600
794,-73.97277,40.7648,14300
795,-73.97037,40.67476,15900
796,-73.99254,40.77013,13500
797,-73.97098,40.75827,10000
798,-73.98067,40.76474,13700
799,-73.95044,40.77137,13200
800,-74.00348,40.7436,8900
801,-73.95915,40.77165,13400
802,0,0,
803,-73.99004,40.74742,9500
804,-73.99197,40.75091,10100
805,-73.97497,40.74174,6200
806,-73.97974,40.75941,10400
807,-73.9919,40.68471,6900
808,-73.97606,40.75124,8000
809,-74.00517,40.72844,3700
810,-73.97762,40.7537,9400
811,0,0,
812,-73.97543,40.76024,10200
813,-73.98734,40.72922,3800
814,-74.00596,40.7405,7900
815,-73.99187,40.7384,5200
816,-73.97626,40.77632,15700
817,-74.00326,40.73154,6700
818,-73.96806,40.75561,9800
819,-73.99189,40.74899,10100
820,-73.96816,40.80225,19500
821,-74.01018,40.72022,3900
822,-73.9858,40.7563,11900
823,-74.00322,40.75151,9900
824,-73.97979,40.7811,16100
825,-74.00632,40.7365,7900
826,-73.99098,40.7335,6100
827,-73.96799,40.75606,9800
828,-73.97198,40.74573,8601
829,0,0,
830,-73.99859,40.71995,4500
831,-73.98884,40.77426,15100
832,-73.98731,40.75281,10900
833,-73.98357,40.75623,11900
834,-73.94954,40.7848,15601
835,-73.99054,40.75596,11300
836,-73.95325,40.76768,12400
837,-73.99259,40.75864,12100
838,-73.9829,40.73064,3400
839,-73.95519,40.78004,14802
840,-73.9487,40.78144,15400
841,-73.94463,40.78735,16400
842,-73.99387,40.74676,9500
843,-73.99974,40.73334,6300
844,-73.97846,40.73097,4400
845,-73.96689,40.79373,18500
846,-73.97799,40.73767,6600
847,-73.87086,40.77361,33100
848,-73.86609,40.77082,33100
849,-73.96658,40.76741,12200
850,-73.97912,40.76607,13700
851,-73.9845,40.73863,6800
852,-73.96234,40.7795,14300
853,-73.98611,40.74426,7400
854,-73.95514,40.76761,12400
855,0,0,
856,-73.96923,40.75498,9800
857,-73.95266,40.78598,15801
858,-73.97432,40.76299,11201
859,-74.00679,40.73923,7900
860,-74.00636,40.73362,7500
861,-73.87285,40.77403,33100
862,-73.95442,40.76592,12400
863,-73.99104,40.74143,5800
864,-73.97154,40.75736,10000
865,-73.95206,40.76912,13200
866,-73.99259,40.75434,11100
867,-74.00687,40.73031,6900
868,-73.97517,40.7519,9200
869,-73.99353,40.73565,6100
870,-73.95614,40.76377,11600
871,-73.97907,40.74042,6600
872,-73.96588,40.75466,9800
873,-73.95192,40.77763,14601
874,-73.97958,40.74966,8200
875,-73.95582,40.78245,15002
876,-73.96216,40.76767,12000
877,-73.98489,40.7595,12500
878,-73.98798,40.75981,12100
879,-73.97313,40.75149,8800
